75436,75642,+
146287,146667,+
425251,425556,-
496628,496960,-
174425,174568,-
287425,287529,+
120857,120985,+
247407,247565,+
382747,383556,-
479882,480226,+
205681,206595,+
77685,77885,+
31705,32325,-
321578,322414,-
154999,155436,+
142563,143096,+
52830,53207,+
158023,158247,+
278905,279207,+
286488,286832,-
14503,15138,-
36977,37957,+
334856,335398,-
102454,102870,-
551040,551969,-
480691,480894,+
58284,58691,+
286885,287343,+
123254,123523,+
297651,297785,-
270405,270692,+
4812,7322,+
548354,548851,-
274282,274653,+
266075,266278,-
65131,65730,-
566783,567025,-
408971,409465,-
552896,553297,-
386463,386678,+
18886,19242,+
239164,239616,+
274674,274904,+
312846,313193,+
372926,373999,-
302326,302865,-
23968,24135,+
403723,405033,-
552696,552899,-
15555,16310,+
242078,242224,+
290334,290627,+
171739,171879,-
248477,249403,-
311663,312808,+
449887,450105,+
137381,137521,+
550019,550174,-
244803,245597,-
247903,248493,-
331484,332215,-
153784,153939,+
349923,350327,+
87037,87210,+
275492,276163,+
133570,133686,+
47580,47855,+
449408,449617,-
447248,447589,+
29351,29470,+
187539,187793,+
192102,192959,+
256468,256761,+
415034,415243,+
54657,55271,+
288259,288747,+
505099,505887,-
454766,455278,-
289512,289730,+
45606,45866,+
55588,55818,+
30093,30260,+
1828,2073,+
3529,4557,+
85589,85942,+
69992,70225,-
119480,120187,+
468152,468421,-
162422,163237,+
385987,386349,-
574351,574500,-
358914,359312,-
32359,32820,-
565447,566205,-
407470,407739,-
143936,144676,+
515819,516124,-
167209,167556,+
255125,255592,+
358497,358784,-
84776,85051,+
379049,379756,-
430368,430556,+
218902,219465,+
407759,408406,-
226983,227189,+
190046,190366,+
545380,545952,-
175967,176257,+
504752,505099,-
273463,273642,-
29552,30124,+
294139,294783,+
332233,332604,-
239827,240195,+
84082,84312,+
197609,198070,+
434768,435844,-
546515,546709,-
357891,358394,-
53735,54568,+
577268,578581,-
34195,34365,-
512770,513003,-
44403,44753,+
360810,361385,-
399043,399294,-
527971,528324,-
451197,451610,+
354024,354476,+
429607,429900,+
103104,103304,+
25770,26006,+
313496,313768,+
506671,507201,-
483369,483545,-
155444,156223,+
62840,63058,+
476411,476863,-
333337,334419,-
91167,91382,+
345305,345631,+
212365,213549,+
447790,448005,+
286062,286463,-
368937,369590,-
357475,357891,-
14217,14432,-
43180,43404,+
270189,270359,+
225906,226277,+
217517,218221,+
575470,576345,-
497437,498306,-
491201,491395,-
196453,196743,+
194687,194860,+
202760,203017,+
180746,181018,+
185124,185324,+
67650,67916,+
411549,412934,-
92812,93084,+
299974,300411,-
104869,104982,+
469110,469229,-
524151,525785,-
321424,321642,+
429159,429359,+
460685,460951,-
497086,497412,-
157910,158020,+
314354,314527,+
449665,449826,+
265597,266043,+
7294,7857,+
57194,57916,-
533041,533235,+
318065,318238,+
444890,445045,+
305001,305294,+
271840,273117,+
440359,440643,-
405456,406139,+
475526,475966,-
193225,193659,+
362494,362802,-
13256,13564,-
131679,132965,+
53204,53488,+
64668,64910,-
102106,102399,-
416511,416675,-
35113,35580,-
429914,430105,-
209242,209598,+
76582,77637,+
188007,188471,+
143602,143955,+
554122,554430,-
73445,73648,+
263104,264045,+
251781,251975,+
75085,75393,+
217103,217396,+
456327,456554,+
118028,118342,+
179151,179834,+
156241,156576,+
306821,307000,+
426262,426405,-
169591,169815,+
559665,559943,-
364535,364867,-
328454,329467,-
526987,527250,-
235309,235458,+
532056,533003,+
529087,529278,-
575081,575341,+
535318,536037,-
224117,224581,+
223088,223360,+
464829,465125,-
392303,392491,-
418749,418937,-
414323,414769,-
89965,90366,+
370950,371963,-
198123,198512,+
401901,402923,-
111445,111789,+
397795,398004,+
500051,500182,+
305424,306098,+
113702,113866,+
143311,143514,+
538351,538563,-
381853,382269,-
244566,244796,-
161902,162435,+
52365,52769,+
238187,239152,+
44891,45070,-
320732,320929,+
36514,36714,-
484947,485216,-
127279,128712,+
125242,125376,+
184875,185000,+
115216,116874,+
16536,16967,+
79089,79940,+
489839,490042,-
177236,177556,+
206933,207394,+
51572,51700,+
307637,307930,+
425936,426100,+
27346,28233,+
89827,89919,+
441347,441562,-
118781,119410,+
215444,215881,+
207434,207850,+
70530,70796,+
91641,91919,+
422697,423113,+
176330,177181,+
189546,189638,+
349282,349620,+
294966,295151,+
493223,493516,-
347659,347796,+
175419,175667,+
563993,564931,+
300577,300804,-
469707,470084,-
429405,429662,+
350876,351055,+
481632,482075,-
476960,477139,-
27049,27345,+
137089,137184,+
194474,194668,+
211150,211344,+
342033,342863,-
115042,115167,+
22389,23558,+
75664,75816,+
353299,353682,-
95783,96697,+
309010,309135,+
369713,369823,-
137531,138058,+
178313,178447,+
297241,297606,-
354939,355130,+
183214,183639,+
484592,484699,-
573259,574032,-
562605,562763,-
473487,473963,-
234466,234849,+
418500,418661,-
574042,574212,-
267081,268010,+
214200,214571,+
63662,63985,-
216190,216366,+
301894,302154,-
180348,180746,+
398298,398834,-
59082,59753,+
444413,444754,+
26036,26128,+
190766,191143,+
348100,348258,+
199610,201037,+
204872,205684,+
50839,51168,+
579224,580033,-
391395,392108,-
412973,414319,-
543606,544157,+
96933,98903,+
550803,550940,-
199158,199610,+
138919,139293,+
565075,565344,-
106660,107547,+
474650,474799,-
285780,285998,-
233545,233772,+
387297,387893,-
252754,252942,+
576357,577205,-
9468,9755,+
521880,522065,-
284518,285783,+
183706,183813,+
439594,439989,-
368081,368530,-
153082,153771,+
121571,123202,+
474898,475056,-
94535,95782,+
218614,218895,+
140040,140273,+
124051,124278,+
456872,457372,+
455450,455947,-
519468,519962,-
20743,21177,+
39538,39690,+
61406,62353,+
24214,24468,+
264118,264594,+
188607,189326,+
163283,163471,+
310511,311146,+
116926,117396,+
440116,440355,-
567627,568406,-
232882,233034,+
335526,336212,-
38735,38977,+
133149,133562,+
183862,184020,+
196121,196447,+
514791,514991,-
191143,191778,+
139397,140026,+
331235,331459,-
84532,84744,-
560496,561923,-
169330,169545,+
161458,161856,+
88321,88629,+
149199,149360,+
536041,537564,-
191782,192102,+
65865,66248,-
471305,471466,-
461558,461689,+
489058,489552,-
66227,67318,-
134769,135338,+
502109,502420,-
120191,120538,+
143193,143318,+
468530,469123,-
398078,398281,-
151306,152298,+
282104,283327,+
474006,474188,-
126702,127253,+
118345,118797,+
394222,394551,-
235517,236062,+
482251,483231,-
351307,351507,+
446618,446734,+
190370,190747,+
195753,196121,+
148054,148236,+
104157,104327,+
9923,11059,+
92257,92652,+
539846,540238,+
531220,531480,-
488009,488176,+
91065,91157,+
461682,462047,+
457347,458270,+
67293,67643,-
329831,330985,-
62459,62785,+
9156,9323,+
44304,44399,+
46297,46671,-
273298,273462,-
149529,150968,+
307202,307342,+
61014,61406,+
356720,357214,+
4645,4797,+
72667,73434,+
46139,46276,-
392582,393016,-
442031,442276,-
320408,320554,+
552447,552632,-
514131,514781,-
108073,109179,+
233800,234444,+
131385,131546,+
242557,244569,+
148536,148958,+
278354,278812,+
357221,357478,+
90373,90954,+
2845,2979,+
252000,252587,+
548867,549226,-
11251,11892,+
367878,368216,+
186136,186789,+
315467,315697,+
210391,211140,+
549792,549905,-
292888,293445,+
3010,3255,+
50572,50724,+
304109,304822,-
89617,89823,+
289836,289952,+
111790,112725,+
448189,448449,+
478473,479006,+
69269,69979,-
356164,356361,-
314714,315232,+
133921,134172,+
462619,463560,+
81085,81294,+
134516,134728,-
393658,394122,-
165471,167129,+
67936,68094,+
17800,18414,+
545171,545380,-
59740,60663,+
290957,291328,+
30330,30548,+
273790,273972,+
309619,310050,+
68091,68303,+
55963,56478,+
325205,325405,-
326030,327052,-
438730,439236,-
113895,114314,+
26500,27030,+
354636,354848,+
270909,271874,+
472067,472423,-
494984,496615,-
481329,481484,-
529532,530977,-
94170,94397,-
508288,508389,+
128906,129355,+
355120,355452,+
21577,22128,+
396282,397424,-
569883,570029,-
230768,230944,+
56715,56972,+
270620,270793,-
269250,270140,+
467571,468083,-
45188,45511,-
465424,466410,-
574855,575058,-
218300,218518,+
351791,352054,-
340119,340262,+
223406,223561,+
484070,484516,-
201031,201675,+
408793,408954,-
8551,9183,+
107590,108009,+
488474,488758,+
377703,377975,-
460126,460494,+
453119,453757,-
236593,237300,-
301385,301552,-
443321,443686,-
64145,64360,-
114808,115023,+
220238,220438,+
220010,220165,+
408692,408793,-
203515,203844,+
362050,362268,-
523948,524145,-
348261,348773,+
365018,365575,-
197177,197602,+
63035,63556,-
302852,304048,-
440671,440880,-
203320,203499,+
222746,223078,+
555934,556311,+
508420,508710,+
458932,459495,-
458260,458547,-
64897,64998,-
432110,434155,-
461189,461545,+
309217,309492,+
393041,393634,-
192959,193222,+
365582,366418,-
416808,416930,-
209674,210318,+
337941,338249,-
104320,104805,+
527251,527520,-
34435,35109,-
423322,423678,-
500720,501487,-
3319,3513,+
435944,438640,-
287749,288234,+
522811,523917,-
318452,319207,+
508134,508262,-
531669,532007,+
377975,379027,-
316196,317308,+
512404,512559,-
472884,473468,-
340526,341182,-
442682,442954,-
578989,579234,-
33130,33384,-
323372,323860,-
409871,410677,-
96707,96955,+
8107,8295,+
202424,202636,+
178490,179068,+
324812,324934,-
250998,251396,+
240323,242068,+
131149,131382,+
502422,502823,-
30983,31153,+
265326,265637,+
160963,161391,+
470077,471234,-
290001,290165,+
42352,42888,+
363427,363732,-
48945,49190,+
443922,444089,+
426658,426861,-
361399,361581,-
60841,61005,+
276167,276628,+
445197,445718,-
366527,367861,-
400305,400709,-
451613,452497,-
93694,94134,+
520689,521333,-
167859,168230,+
493624,493857,-
87338,87634,+
334429,334773,-
224903,225904,+
19825,20736,+
568399,568713,-
109262,109675,+
193818,194468,+
450734,451048,-
160072,160263,-
493912,494967,-
40542,41069,+
135806,136120,+
189801,189956,+
283396,284373,+
158323,158604,+
208567,209211,+
552018,552446,-
216761,217090,+
434468,434737,-
211444,212070,+
195492,195716,+
279200,279499,+
373981,374793,-
686,1828,+
520140,520640,-
556437,557315,+
541789,542094,-
264597,265292,+
185973,186149,+
547664,548056,-
505909,506655,-
28652,29305,+
332758,332868,-
163591,165387,+
110355,110924,+
253979,254602,+
423100,423276,-
456055,456264,+
47203,47421,-
227235,227618,+
464646,464768,-
51863,52357,+
517376,518014,-
344365,344850,-
513681,513857,-
492143,492823,-
215270,215422,+
392134,392247,+
359331,359765,-
441755,441892,-
558239,558463,+
203920,204501,+
111256,111354,+
279492,279806,+
179877,180266,+
430580,432103,-
212095,212259,+
511373,512050,-
339765,340022,+
242224,242511,+
327856,328377,-
485242,487647,-
216016,216174,+
207933,208577,+
25371,25766,+
471899,472066,-
533271,533561,+
327045,327431,-
249610,249948,-
307930,308370,+
281079,281963,+
227823,229067,+
540510,541241,+
250808,250996,+
291334,292098,+
293938,294093,+
466410,467564,-
117745,118035,+
39691,39813,+
226281,226457,+
232282,232842,+
445854,446099,-
168634,168807,+
340323,340517,+
124417,125154,+
299485,299658,-
33463,33897,-
251444,251560,+
379922,380353,-
395772,396242,-
259177,262329,+
384148,385464,-
146758,147198,+
509502,509876,-
415291,415488,-
301043,301348,-
409466,409858,-
336507,336941,-
420333,420845,+
17001,17426,+
349634,349804,-
