686,1828,+
1828,2073,+
2605,2760,+
2845,2979,+
3010,3255,+
3319,3513,+
3529,4557,+
4645,4797,+
4812,7322,+
7294,7857,+
8107,8295,+
8296,8547,+
8551,9183,+
9156,9323,+
9468,9755,+
9923,11059,+
11251,11892,+
12068,12244,+
13104,13331,+
13256,13564,-
13569,14057,-
14217,14432,-
14503,15138,-
15555,16310,+
16536,16967,+
17001,17426,+
17512,17784,+
17800,18414,+
18886,19242,+
19252,19623,+
19825,20736,+
20743,21177,+
21208,21321,+
21577,22128,+
22389,23558,+
23638,23838,+
23968,24135,+
24214,24468,+
24468,24710,+
25371,25766,+
25770,26006,+
26036,26128,+
26261,26473,+
26500,27030,+
27049,27345,+
27346,28233,+
28342,28449,+
28652,29305,+
29351,29470,+
29552,30124,+
30093,30260,+
30330,30548,+
30983,31153,+
31143,31736,-
31705,32325,-
32359,32820,-
32851,33054,-
33130,33384,-
33463,33897,-
34195,34365,-
34435,35109,-
35113,35580,-
35638,35727,-
35902,36195,-
36514,36714,-
36977,37957,+
38312,38440,+
38735,38977,+
39538,39690,+
39691,39813,+
40542,41069,+
41151,41297,+
41319,41567,+
42352,42888,+
43180,43404,+
43401,43565,+
43593,44258,+
44304,44399,+
44403,44753,+
44891,45070,-
45188,45511,-
45606,45866,+
46004,46093,-
46139,46276,-
46297,46671,-
46975,47109,-
47203,47421,-
47580,47855,+
48333,48929,+
48945,49190,+
49376,49642,+
49840,50163,+
50572,50724,+
50839,51168,+
51572,51700,+
51863,52357,+
52365,52769,+
52830,53207,+
53204,53488,+
53735,54568,+
54657,55271,+
55443,55604,+
55588,55818,+
55963,56478,+
56715,56972,+
57056,57175,-
57194,57916,-
57944,58270,-
58284,58691,+
58716,59078,+
59082,59753,+
59740,60663,+
60841,61005,+
61014,61406,+
61406,62353,+
62459,62785,+
62840,63058,+
63035,63556,-
63662,63985,-
64145,64360,-
64668,64910,-
64897,64998,-
65131,65730,-
65865,66248,-
66227,67318,-
67293,67643,-
67650,67916,+
67936,68094,+
68091,68303,+
68591,69037,-
69269,69979,-
69992,70225,-
70530,70796,+
70824,72572,+
72667,73434,+
73445,73648,+
73690,74580,+
75085,75393,+
75436,75642,+
75664,75816,+
76078,76572,+
76582,77637,+
77685,77885,+
78396,79079,+
79089,79940,+
79995,81035,+
81085,81294,+
81529,81714,+
82620,84044,+
84082,84312,+
84532,84744,-
84776,85051,+
85319,85555,+
85589,85942,+
86025,86141,-
86263,86535,+
87037,87210,+
87338,87634,+
88321,88629,+
89076,89333,-
89617,89823,+
89827,89919,+
89965,90366,+
90373,90954,+
91065,91157,+
91167,91382,+
91641,91919,+
92257,92652,+
92812,93084,+
93160,93654,+
93694,94134,+
94170,94397,-
94535,95782,+
95783,96697,+
96707,96955,+
96933,98903,+
98906,99112,+
99383,101779,+
102106,102399,-
102454,102870,-
103104,103304,+
103380,104123,+
104157,104327,+
104320,104805,+
104869,104982,+
105106,105450,+
105452,106564,+
106660,107547,+
107590,108009,+
108073,109179,+
109262,109675,+
109675,109992,+
110029,110355,+
110355,110924,+
110917,111129,+
111256,111354,+
111445,111789,+
111790,112725,+
112820,113626,+
113702,113866,+
113895,114314,+
114331,114798,+
114808,115023,+
115042,115167,+
115216,116874,+
116926,117396,+
117745,118035,+
118028,118342,+
118345,118797,+
118781,119410,+
119480,120187,+
120191,120538,+
120857,120985,+
121214,121387,+
121571,123202,+
123254,123523,+
124051,124278,+
124417,125154,+
125242,125376,+
125392,125850,+
125853,126662,+
126702,127253,+
127279,128712,+
128906,129355,+
129348,130295,+
130417,131022,+
131149,131382,+
131385,131546,+
131679,132965,+
133149,133562,+
133570,133686,+
133921,134172,+
134516,134728,-
134769,135338,+
135338,135553,+
135806,136120,+
136105,137028,+
137089,137184,+
137381,137521,+
137531,138058,+
138112,138867,+
138919,139293,+
139397,140026,+
140040,140273,+
140331,141266,+
141276,141410,+
141391,141669,+
141688,141834,+
142081,142554,+
142563,143096,+
143193,143318,+
143311,143514,+
143602,143955,+
143936,144676,+
144994,146136,+
146287,146667,+
146758,147198,+
147205,147339,+
147379,147807,+
148054,148236,+
148239,148436,+
148536,148958,+
149199,149360,+
149529,150968,+
151017,151328,+
151306,152298,+
152419,152721,+
153082,153771,+
153784,153939,+
153920,154963,-
154999,155436,+
155444,156223,+
156241,156576,+
156566,157858,+
157910,158020,+
158023,158247,+
158323,158604,+
158581,159006,-
159554,159670,-
159798,160100,+
160072,160263,-
160285,160914,-
160963,161391,+
161458,161856,+
161902,162435,+
162422,163237,+
163283,163471,+
163591,165387,+
165471,167129,+
167209,167556,+
167495,167737,-
167859,168230,+
168634,168807,+
169330,169545,+
169591,169815,+
171739,171879,-
174425,174568,-
175419,175667,+
175967,176257,+
176330,177181,+
177236,177556,+
177584,178276,+
178313,178447,+
178490,179068,+
179151,179834,+
179877,180266,+
180348,180746,+
180746,181018,+
181005,182864,+
182851,183189,+
183214,183639,+
183706,183813,+
183862,184020,+
184053,184862,+
184875,185000,+
185124,185324,+
185520,185915,+
185973,186149,+
186136,186789,+
187012,187263,+
187302,187454,+
187539,187793,+
188007,188471,+
188607,189326,+
189546,189638,+
189801,189956,+
190046,190366,+
190370,190747,+
190766,191143,+
191143,191778,+
191782,192102,+
192102,192959,+
192959,193222,+
193225,193659,+
193818,194468,+
194474,194668,+
194687,194860,+
194890,195084,+
195492,195716,+
195753,196121,+
196121,196447,+
196453,196743,+
196998,197180,+
197177,197602,+
197609,198070,+
198123,198512,+
198517,199152,+
199158,199610,+
199610,201037,+
201031,201675,+
201678,202424,+
202424,202636,+
202760,203017,+
203320,203499,+
203515,203844,+
203920,204501,+
204559,204885,+
204872,205684,+
205681,206595,+
206588,206923,+
206933,207394,+
207434,207850,+
207933,208577,+
208567,209211,+
209242,209598,+
209674,210318,+
210391,211140,+
211150,211344,+
211444,212070,+
212095,212259,+
212365,213549,+
213585,213935,+
214200,214571,+
214975,215142,+
215270,215422,+
215444,215881,+
216016,216174,+
216190,216366,+
216406,216678,+
216761,217090,+
217103,217396,+
217517,218221,+
218300,218518,+
218614,218895,+
218902,219465,+
220010,220165,+
220238,220438,+
220401,220598,+
220607,221374,+
222011,222532,+
222542,222691,+
222746,223078,+
223088,223360,+
223406,223561,+
223646,223789,+
223855,223992,-
224117,224581,+
224903,225904,+
225906,226277,+
226281,226457,+
226983,227189,+
227235,227618,+
227823,229067,+
229461,229811,+
230768,230944,+
232282,232842,+
232882,233034,+
233038,233511,+
233545,233772,+
233800,234444,+
234466,234849,+
234883,235284,+
235309,235458,+
235517,236062,+
236065,236244,+
236247,236621,+
236593,237300,-
237347,237913,+
238187,239152,+
239164,239616,+
239617,239817,+
239827,240195,+
240323,242068,+
242078,242224,+
242224,242511,+
242557,244569,+
244566,244796,-
244803,245597,-
245966,247426,+
247407,247565,+
247566,247910,+
247903,248493,-
248477,249403,-
249610,249948,-
250551,250796,+
250808,250996,+
250998,251396,+
251444,251560,+
251781,251975,+
252000,252587,+
252754,252942,+
253111,253995,+
253979,254602,+
254621,255040,+
255125,255592,+
255595,256458,+
256468,256761,+
258041,259159,+
259098,259190,+
259177,262329,+
263104,264045,+
264118,264594,+
264597,265292,+
265326,265637,+
265597,266043,+
266075,266278,-
266627,267091,+
267081,268010,+
268012,269247,+
269250,270140,+
270189,270359,+
270405,270692,+
270620,270793,-
270909,271874,+
271840,273117,+
273298,273462,-
273463,273642,-
273790,273972,+
274282,274653,+
274674,274904,+
274944,275135,+
275141,275272,+
275492,276163,+
276167,276628,+
276647,278275,+
278354,278812,+
278905,279207,+
279200,279499,+
279492,279806,+
279799,280644,+
280664,281086,+
281079,281963,+
282104,283327,+
283396,284373,+
284518,285783,+
285780,285998,-
286062,286463,-
286488,286832,-
286885,287343,+
287425,287529,+
287749,288234,+
288259,288747,+
288753,289433,+
289512,289730,+
289836,289952,+
290001,290165,+
290334,290627,+
290957,291328,+
291334,292098,+
292237,292596,+
292888,293445,+
293448,293945,+
293938,294093,+
294139,294783,+
294966,295151,+
295250,295486,-
295473,296129,-
296113,296628,-
296731,297135,-
297241,297606,-
297651,297785,-
297843,297968,-
298011,298211,-
298434,299063,-
299232,299474,-
299485,299658,-
299662,299970,-
299974,300411,-
300577,300804,-
301043,301348,-
301385,301552,-
301894,302154,-
302326,302865,-
302852,304048,-
304109,304822,-
305001,305294,+
305424,306098,+
306821,307000,+
307202,307342,+
307637,307930,+
307930,308370,+
308404,309009,+
309010,309135,+
309217,309492,+
309619,310050,+
310511,311146,+
311663,312808,+
312846,313193,+
313108,313374,-
313496,313768,+
314354,314527,+
314714,315232,+
315467,315697,+
315701,316063,+
316196,317308,+
317381,317824,+
318065,318238,+
318452,319207,+
319207,320061,+
320408,320554,+
320732,320929,+
321046,321324,+
321424,321642,+
321578,322414,-
322433,322954,-
322988,323191,-
323372,323860,-
324518,324703,-
324812,324934,-
325205,325405,-
325502,325879,-
326030,327052,-
327045,327431,-
327721,327831,-
327856,328377,-
328454,329467,-
329591,329827,-
329831,330985,-
331235,331459,-
331484,332215,-
332233,332604,-
332758,332868,-
332971,333123,-
333139,333309,-
333337,334419,-
334429,334773,-
334856,335398,-
335526,336212,-
336507,336941,-
337485,337940,-
337941,338249,-
338367,339755,+
339765,340022,+
340119,340262,+
340323,340517,+
340526,341182,-
341175,341972,-
342033,342863,-
343047,343703,-
344365,344850,-
345031,345165,+
345305,345631,+
345812,346633,+
347040,347180,+
347215,347448,+
347659,347796,+
347800,348009,+
348100,348258,+
348261,348773,+
349282,349620,+
349634,349804,-
349923,350327,+
350605,350778,+
350876,351055,+
351307,351507,+
351553,351825,+
351791,352054,-
352892,353035,-
352975,353247,-
353299,353682,-
354024,354476,+
