92160,92273,-
279244,279453,-
55984,56478,+
13569,14057,-
174425,174568,-
320547,320654,+
44792,44917,+
355533,355643,-
40551,41069,+
256910,257038,-
508469,508582,-
321412,321642,+
562510,562620,+
92812,93084,+
327636,327761,-
487706,487903,+
551040,551969,-
137031,137177,-
462595,463560,+
185115,185324,+
119468,120187,+
311717,312808,+
93739,94134,+
104869,104982,+
527585,527902,+
408971,409465,-
52541,52804,-
91731,91919,+
408692,408793,-
312846,313193,+
136180,137028,+
462326,462406,-
425617,425754,-
275284,275430,-
552696,552899,-
550019,550192,-
553329,553460,-
214828,214968,+
490808,490942,+
290334,290627,+
26036,26128,+
232891,233034,+
186841,186978,+
311663,312808,+
318461,319207,+
557305,557721,-
247903,248493,-
84532,84705,-
397989,398108,+
213648,213935,+
290912,291328,+
78396,79079,+
253123,253995,+
133570,133686,+
87040,87210,+
247903,248421,-
29351,29470,+
353168,353362,+
401613,401720,-
415034,415243,+
187912,188010,+
454766,455278,-
266232,266360,+
417064,417333,+
30093,30260,+
85589,85942,+
40062,40253,+
133969,134172,+
119480,120187,+
359794,359934,+
163505,163591,+
18664,18744,+
217365,217493,+
128906,129355,+
407470,407739,-
167209,167556,+
255125,255592,+
283534,284373,+
141391,141669,+
226983,227189,+
496628,496930,-
159074,159232,-
213594,213935,+
279895,280644,+
304109,304864,-
391395,392012,-
392134,392247,+
29552,30124,+
395153,395251,-
216016,216174,+
84082,84312,+
147234,147416,-
30983,31153,+
323937,324092,+
151039,151173,+
75466,75642,+
418934,419017,-
395450,395584,-
401401,401535,+
74895,75029,-
399043,399294,-
527971,528324,-
285780,285998,-
88756,88854,+
147792,147941,-
354024,354476,+
335526,336167,-
405189,405308,-
103104,103304,+
25770,26006,+
57194,57904,-
429244,429378,+
407080,407244,-
333337,334419,-
434328,434420,+
286062,286463,-
43180,43404,+
190808,191143,+
333337,334401,-
225906,226277,+
194687,194860,+
186799,186915,-
273298,273435,-
185124,185324,+
231100,231225,-
301786,301869,-
297651,297785,-
471305,471427,-
189801,189956,+
140316,141266,+
429159,429359,+
96752,96955,+
429238,429378,+
157910,158020,+
314354,314527,+
7294,7857,+
57194,57916,-
162752,163237,+
229825,229968,-
400858,400974,+
390285,390395,+
428966,429109,-
307190,307342,+
211150,211344,+
488474,488758,+
81574,81714,+
293938,294093,+
87338,87634,+
473487,473945,-
385790,385999,+
73792,74580,+
466410,467564,-
229162,229275,+
429914,430105,-
222029,222532,+
309229,309492,+
87518,87634,+
183687,183839,-
483369,483572,-
143602,143955,+
554122,554430,-
198123,198512,+
169285,169533,-
262530,262772,-
61020,61406,+
347272,347448,+
13569,14021,-
218611,218895,+
118028,118342,+
117553,117702,+
480688,480894,+
179151,179834,+
579224,579841,-
320408,320554,+
53665,53814,-
390897,391010,-
235309,235458,+
542266,542355,-
529087,529278,-
301894,302100,-
555648,555791,-
423100,423276,-
465339,465434,-
545171,545380,-
446074,446199,+
480691,480894,+
45687,45866,+
