Frame 1 
18	+	174
222	+	360
360	+	480
480	+	549
549	+	609
666	+	720
759	+	921
1050	+	1107
1236	+	1395
1425	+	1509
1515	+	1602
1782	+	3072
3072	+	3147
3180	+	3417
3432	+	4545
4578	+	4665
4800	+	4851
4851	+	4911
4911	+	5085
5085	+	5142
5154	+	5223
5265	+	5451
5472	+	5553
5562	+	5742
5742	+	5805
5832	+	6003
6144	+	6228
6228	+	6285
6285	+	6360
6405	+	6540
6540	+	6600
6600	+	6660
6660	+	6720
6741	+	6804
6804	+	6876
6918	+	6969
7164	+	7497
7521	+	7794
7941	+	8025
8025	+	8139
8139	+	8220
8286	+	8340
8352	+	8511
8520	+	8634
8634	+	8766
8766	+	8904
9000	+	9054
9132	+	9240
9279	+	9399
9405	+	9471
9513	+	9606
9729	+	9789
9795	+	9858
9858	+	9945
9945	+	10014
10014	+	10071
10119	+	10173
10173	+	10224
10227	+	10296
10296	+	10347
10347	+	10410
10416	+	10563
10722	+	10809
10809	+	10908
10908	+	10971
10971	+	11256
11307	+	11361
11361	+	11451
11469	+	11643
11715	+	11844
11880	+	11952
11952	+	12042
12111	+	12180
12228	+	12297
12456	+	12621
12678	+	12771
12771	+	12846
12849	+	12948
12957	+	13086
13086	+	13260
13332	+	13395
13431	+	13587
13605	+	13686
13686	+	13746
13746	+	13821
13857	+	13932
14007	+	14061
14079	+	14166
14184	+	14265
14331	+	14388
14388	+	14481
14514	+	14628
14640	+	14784
14811	+	14877
14877	+	15168
15168	+	15231
15231	+	15288
15324	+	15405
15453	+	15540
15594	+	15657
15699	+	15867
15870	+	15924
15924	+	15981
15996	+	16146
16239	+	16293
16353	+	16428
16554	+	16635
16647	+	16716
16764	+	16887
16965	+	17037
17196	+	17334
17361	+	17472
17511	+	18861
18861	+	18930
19077	+	19161
19161	+	19245
19245	+	19323
19458	+	19509
19599	+	19656
19893	+	19950
20025	+	20082
20106	+	20163
20163	+	20244
20331	+	20394
20421	+	20517
20535	+	20592
20649	+	20850
21453	+	21513
21534	+	21603
21765	+	21816
21852	+	21987
22005	+	22134
22134	+	22200
22326	+	22386
22401	+	22488
22521	+	22596
22596	+	22713
22737	+	22824
22824	+	22947
22947	+	23061
23118	+	23283
23307	+	23388
23577	+	23628
23628	+	23883
23892	+	23952
23985	+	24117
24117	+	24210
24252	+	24324
24324	+	24408
24423	+	24627
24687	+	24750
24750	+	24813
24813	+	24864
24864	+	24927
24957	+	25026
25026	+	25083
25161	+	25230
25248	+	25329
25614	+	25686
25737	+	25803
25872	+	25926
26022	+	26082
26082	+	26187
26235	+	26292
26292	+	26370
26436	+	26502
26658	+	26739
26739	+	26856
26856	+	26949
27390	+	27474
27474	+	27582
27648	+	27726
27801	+	27909
27909	+	28080
28113	+	28194
28302	+	28371
28434	+	28488
28509	+	28848
28908	+	28962
29025	+	29154
29154	+	29247
29304	+	29517
29634	+	29730
29730	+	29874
29874	+	29949
29949	+	30015
30075	+	30132
30291	+	30387
30462	+	30528
30606	+	30726
30855	+	31035
31041	+	31104
31104	+	31206
31302	+	31401
31473	+	31557
31557	+	31614
31656	+	31737
31737	+	31791
31791	+	31866
31866	+	31950
31950	+	32025
32025	+	32082
32121	+	32178
32214	+	32274
32274	+	32370
32379	+	32475
32514	+	32685
32685	+	32751
32772	+	32865
32904	+	32994
33081	+	33219
33219	+	33303
