Frame 1 
129	+	1104
1995	+	2562
3135	+	3900
3900	+	4680
8739	+	9249
9249	+	9828
11451	+	14175
15957	+	16923
17481	+	18582
19938	+	20469
22959	+	23604
24078	+	24978
24978	+	25524
25524	+	26181
27165	+	28155
28542	+	29487
30357	+	32142
32883	+	33543
33555	+	34326
35814	+	37218
37218	+	38067
39321	+	39960
42960	+	43971
48177	+	48699
50079	+	50841
53763	+	54555
54555	+	55254
56787	+	57819
57819	+	58623
61554	+	63150
66681	+	67236
67464	+	68217
69327	+	70146
70917	+	71931
71931	+	72942
73749	+	75213
76410	+	78690
78690	+	80403
85218	+	86913
87429	+	88692
89028	+	90639
90639	+	91410
96996	+	97740
98925	+	99606
100047	+	101937
104973	+	106245
107631	+	108189
108189	+	108789
110499	+	111012
111012	+	111648
111648	+	113100
117165	+	117744
119778	+	120990
120990	+	121911
121920	+	122541
123843	+	125385
127830	+	129732
131892	+	132435
133365	+	134679
139170	+	139689
141114	+	141651
144564	+	145671
145671	+	146199
146199	+	147270
147627	+	148143
151602	+	152610
152643	+	153171
153696	+	154347
154845	+	155391
155391	+	156036
158487	+	159108
161301	+	162393
162393	+	163032
164817	+	165390
167148	+	167925
167925	+	168552
168657	+	169179
169179	+	170523
171537	+	172914
177978	+	178878
179274	+	180117
180117	+	180798
186021	+	186780
186780	+	188010
188010	+	189819
190269	+	191481
192597	+	193863
195333	+	196137
204606	+	205170
205170	+	206160
206160	+	208173
209370	+	210639
211515	+	212418
216459	+	216972
218196	+	218922
220857	+	221529
221529	+	222279
222606	+	223131
223782	+	224379
224937	+	227523
227544	+	228690
233946	+	236124
236124	+	237282
238401	+	239124
239817	+	240648
243429	+	244149
247455	+	247962
248910	+	249711
249711	+	250281
250281	+	250887
250887	+	251895
253077	+	254808
256173	+	256764
260952	+	261558
265944	+	267024
267024	+	268824
268824	+	270048
273204	+	273777
273777	+	274470
274905	+	275790
276978	+	277563
278007	+	279468
281322	+	281853
281937	+	283953
284508	+	285270
285390	+	285996
286749	+	287292
288021	+	288612
288612	+	289137
290046	+	291318
293412	+	294795
295779	+	296739
300147	+	300714
301203	+	302487
302886	+	304356
306333	+	307455
311856	+	312687
314379	+	314946
318045	+	318654
320274	+	321093
322941	+	323667
329655	+	330777
335937	+	336585
336618	+	337725
342834	+	343344
343344	+	344106
345075	+	345618
346047	+	347514
349896	+	350436
350721	+	352101
354624	+	357657
360411	+	361062
361353	+	362085
362667	+	363294
363633	+	364416
366039	+	368268
369207	+	370371
371301	+	372564
372876	+	373443
374448	+	375009
375819	+	376713
377487	+	377994
378729	+	379341
379953	+	381471
383709	+	384822
385743	+	386328
386574	+	387150
387279	+	387849
387954	+	388983
389697	+	390282
392130	+	393069
393168	+	393834
393966	+	394695
397524	+	398208
400737	+	402858
404082	+	405021
407823	+	409179
411042	+	412839
412986	+	413604
414075	+	414579
418041	+	419268
419688	+	420696
422976	+	424350
424350	+	425040
425694	+	426195
426315	+	427629
429015	+	429663
440133	+	441747
443514	+	444069
444495	+	445347
448197	+	450522
452079	+	453018
453018	+	453861
454818	+	455325
461958	+	464658
465069	+	465705
465705	+	466578
466599	+	467106
469653	+	470844
472065	+	472737
472737	+	473505
480669	+	481416
482019	+	482859
483576	+	484215
484239	+	484905
484995	+	485526
486294	+	488265
491001	+	491997
493128	+	493695
494358	+	494916
499725	+	501552
501552	+	502875
504189	+	504735
510585	+	511176
511176	+	511968
512628	+	513663
515535	+	516198
517266	+	518109
518148	+	518724
524880	+	525624
525900	+	530172
537294	+	537795
540591	+	542019
544305	+	544986
550020	+	550635
552591	+	553098
553137	+	553992
556227	+	557556
559857	+	560607
561924	+	562632
563508	+	564303
564402	+	565206
565599	+	567480
567639	+	570567
570567	+	571362
572562	+	574134
580179	+	581430
581430	+	583152
583215	+	583749
585771	+	587067
587265	+	588045
588363	+	589278
589278	+	589890
589890	+	590505
590631	+	591294
592530	+	593055
593457	+	594540
594741	+	595827
595827	+	596502
598128	+	598707
598974	+	600519
601707	+	602493
609288	+	610857
610872	+	611538
611538	+	613125
614079	+	614979
617496	+	618582
618660	+	619620
619620	+	621252
627321	+	628038
635649	+	637146
637422	+	637995
643620	+	644259
649221	+	649728
652617	+	653361
655791	+	657498
661197	+	661806
663984	+	664635
664782	+	665295
670470	+	670974
670974	+	672537
673029	+	674259
674259	+	675714
675948	+	676572
677181	+	677823
677988	+	678552
678552	+	681231
685896	+	686457
687720	+	688887
689652	+	690303
691785	+	692961
694455	+	695748
698391	+	699741
712227	+	712818
714630	+	715644
715824	+	717297
718326	+	718836
719235	+	721602
723108	+	725217
725304	+	725928
725958	+	726705
732756	+	735312
737433	+	737967
737967	+	739326
740073	+	741141
743052	+	743619
743751	+	744366
748011	+	748686
749262	+	751743
751833	+	753930
763311	+	764406
766839	+	767610
770973	+	771510
771510	+	772092
772206	+	773607
774882	+	775671
777483	+	778896
779451	+	780774
780774	+	781413
