Frame 1 
288	+	2796
4413	+	4728
5487	+	5943
6090	+	6375
7191	+	7770
9741	+	10296
10734	+	11028
11571	+	11829
12159	+	14076
15429	+	16554
18018	+	18297
18678	+	19617
20685	+	21060
25194	+	25698
30282	+	30540
30792	+	34035
34164	+	34692
35181	+	35901
36225	+	36978
36978	+	37314
37314	+	37623
39138	+	39516
39516	+	40020
40020	+	40371
40572	+	40857
40857	+	41469
42312	+	43170
45357	+	45747
50463	+	50730
50793	+	51057
51057	+	51543
53586	+	53961
53961	+	54567
54567	+	54846
57282	+	58176
58401	+	59121
59874	+	60147
60300	+	60852
60858	+	61296
61575	+	61944
61944	+	62577
62721	+	63168
65634	+	66105
66786	+	67122
67371	+	68643
69357	+	69654
70320	+	71262
71337	+	71592
73359	+	73845
74307	+	74865
76845	+	77166
77484	+	77745
79437	+	79890
80139	+	80550
81351	+	81642
82068	+	82470
82887	+	83310
85482	+	87351
89955	+	91032
93141	+	94650
96495	+	96768
96984	+	98400
100758	+	102237
109776	+	110058
111555	+	111840
114345	+	114672
114792	+	115149
116988	+	117240
117483	+	117792
119238	+	120132
122049	+	122853
124686	+	125031
125661	+	127584
127863	+	129333
134874	+	135198
137007	+	138630
138978	+	139251
139251	+	140154
140172	+	140775
144546	+	145014
145047	+	146307
146307	+	146853
146886	+	147867
148785	+	149091
149190	+	149577
151731	+	152064
158049	+	158364
158364	+	158907
164451	+	164796
169248	+	171060
172791	+	174777
175830	+	176112
176421	+	177861
177906	+	178287
178998	+	179271
179817	+	180153
180153	+	180522
182388	+	182646
183774	+	184953
190092	+	190431
190431	+	190830
192156	+	193041
194793	+	196050
199242	+	201693
203316	+	203889
203889	+	204681
210987	+	213153
213651	+	214962
216129	+	216588
217551	+	217872
219771	+	220047
221442	+	221829
221895	+	222213
222669	+	223047
226062	+	226545
230487	+	231303
236010	+	236871
237390	+	238131
238197	+	238449
240411	+	240711
242382	+	242922
244701	+	245454
247059	+	247338
248028	+	248334
248550	+	248844
249630	+	250242
250242	+	250695
250695	+	251331
252351	+	252639
254799	+	255066
255591	+	255954
255954	+	256428
257532	+	257829
257829	+	259104
259104	+	259563
262032	+	263313
264318	+	264843
265584	+	265839
265893	+	266241
266931	+	267306
268923	+	269334
270792	+	271203
275835	+	276456
277080	+	277374
277545	+	277821
279762	+	280059
281169	+	281637
281637	+	281913
282807	+	283743
284268	+	284661
285921	+	287334
287619	+	287943
288306	+	288576
288813	+	289197
289785	+	290598
290919	+	291195
291870	+	292788
297219	+	297615
298650	+	298914
299280	+	299823
299823	+	300204
300204	+	300519
300585	+	300867
300867	+	301194
301194	+	301626
305460	+	305775
305775	+	306294
308994	+	309291
