Frame 1 
99	+	198
219	+	336
1800	+	2070
2112	+	2349
2349	+	2481
2580	+	2757
2775	+	2976
2976	+	3252
3252	+	3510
3510	+	4554
4632	+	4794
4884	+	5064
5250	+	5415
5880	+	5979
6240	+	6339
6450	+	6606
6606	+	6717
6792	+	6915
7287	+	7854
7854	+	8292
8292	+	8544
8544	+	9180
11229	+	11889
11925	+	12030
12426	+	12528
13014	+	13116
13569	+	13674
13701	+	13914
14142	+	14364
14460	+	14568
14586	+	14730
15273	+	15393
16602	+	16776
16776	+	16878
17484	+	17781
17781	+	18411
18411	+	18741
18741	+	19239
19242	+	19620
19620	+	20733
20733	+	21174
21174	+	21318
21318	+	21474
21474	+	22125
22128	+	22344
22455	+	22578
22629	+	22803
22830	+	23139
23292	+	23424
23604	+	23835
23835	+	23952
23952	+	24132
24132	+	24465
24702	+	24810
25200	+	25347
26457	+	27027
27027	+	27342
27342	+	28230
28323	+	28446
29334	+	29451
30747	+	30864
31176	+	31344
31770	+	31911
32907	+	33042
33432	+	33729
33729	+	33969
35559	+	35718
35805	+	35913
35988	+	36123
36123	+	36225
36612	+	36738
39156	+	39288
39288	+	39417
39495	+	39687
39687	+	39810
40632	+	40767
40848	+	40965
40965	+	41079
41724	+	41850
41850	+	42198
42198	+	42885
43053	+	43401
43896	+	44034
44301	+	44403
45441	+	45540
45744	+	45849
45924	+	46032
47709	+	47874
47874	+	48012
48012	+	48147
48972	+	49098
49827	+	50160
50160	+	50721
50733	+	51165
51165	+	51393
51393	+	51516
51687	+	51795
55581	+	55815
55815	+	56475
56475	+	56583
56583	+	56682
56772	+	56892
56907	+	57108
57363	+	57504
57846	+	58056
58659	+	58764
59472	+	59571
59733	+	60660
60660	+	61002
61164	+	61380
61515	+	61623
63207	+	63312
63366	+	63495
64572	+	64932
65877	+	65994
66054	+	66240
66486	+	66594
67023	+	67176
67191	+	67431
67917	+	68091
68166	+	68277
68679	+	68778
69738	+	69867
70389	+	70491
71811	+	71940
72045	+	72237
72561	+	73431
73677	+	74577
74706	+	75012
75033	+	75390
75390	+	75639
75639	+	75813
75813	+	75918
75918	+	76056
76056	+	76569
76569	+	77634
77817	+	77958
79122	+	79260
79260	+	79398
79491	+	79596
79791	+	79998
81060	+	81291
81291	+	81711
81711	+	81837
81837	+	81999
81999	+	82536
82680	+	82788
83058	+	83226
83583	+	83724
84054	+	84309
85140	+	85278
86010	+	86202
86202	+	86532
86772	+	87030
87030	+	87207
87207	+	87315
87315	+	87618
87735	+	87840
87912	+	88026
88191	+	88293
88293	+	88626
88626	+	88851
88851	+	89001
89124	+	89250
89337	+	89445
89445	+	89820
89916	+	90363
90363	+	90951
91113	+	91212
91752	+	91884
91932	+	92124
92124	+	92649
92736	+	93081
93081	+	93651
93651	+	94131
94131	+	94353
94353	+	94545
96933	+	97095
97170	+	97305
97884	+	98022
98022	+	98148
98175	+	98301
98544	+	98742
98802	+	98919
99339	+	99498
103182	+	103281
103581	+	103728
103785	+	103917
104301	+	104802
104838	+	104979
105075	+	105447
105759	+	105882
106647	+	107544
107544	+	108006
108006	+	109176
109668	+	109989
109989	+	110352
110898	+	111126
111126	+	111351
111351	+	111786
111786	+	112722
112830	+	112938
113544	+	113652
114078	+	114177
114324	+	114795
114795	+	115020
115020	+	115164
115164	+	116871
116871	+	117393
117393	+	117549
117549	+	117699
117699	+	118032
118332	+	118794
119328	+	119448
121407	+	121512
123630	+	123924
123948	+	124275
124413	+	125151
125151	+	125373
125373	+	125847
126264	+	126408
126408	+	126615
127005	+	127125
127272	+	128709
128772	+	128883
129666	+	129828
129828	+	129933
130158	+	130260
130404	+	131019
131019	+	131124
131124	+	131379
132327	+	132426
132426	+	132564
133125	+	133284
133563	+	133683
133683	+	134169
134844	+	134961
134964	+	135063
136092	+	137025
137070	+	137181
138084	+	138864
138864	+	139290
139290	+	139404
140040	+	140154
140616	+	140733
141333	+	141666
141666	+	141831
141843	+	141942
141942	+	142053
142053	+	142551
142581	+	142680
143034	+	143142
143304	+	143511
143532	+	143952
144966	+	146133
146133	+	146268
146268	+	146664
146721	+	147195
147195	+	147336
147336	+	147804
147891	+	148050
148050	+	148233
148302	+	148413
148515	+	148620
149280	+	149472
149472	+	149592
150000	+	150108
150501	+	150708
151017	+	151170
151260	+	152295
152295	+	152718
153069	+	153768
153768	+	153936
154464	+	154587
154635	+	154773
154827	+	154944
154980	+	155433
156237	+	156573
158004	+	158244
158286	+	158601
160854	+	161388
161388	+	161853
161853	+	162432
163563	+	165384
