Frame 1 
99	+	198
219	+	336
342	+	480
1800	+	2757
2775	+	4794
4884	+	5064
5250	+	5415
5850	+	5979
6240	+	6342
6450	+	6606
6606	+	6738
6792	+	6915
7287	+	8544
8544	+	9180
10197	+	10302
11229	+	12036
12399	+	12528
13014	+	13134
13407	+	13551
13569	+	13701
13701	+	13971
13971	+	14409
14460	+	14586
14586	+	14730
15273	+	15429
16602	+	16776
16776	+	16881
17346	+	19239
19242	+	22344
22455	+	22578
22629	+	22803
22806	+	23139
23292	+	23424
23535	+	24465
24702	+	24810
25200	+	25347
26235	+	26346
26442	+	27342
27342	+	28446
28659	+	28776
29217	+	29316
29322	+	29451
30732	+	30864
31143	+	31344
31770	+	31911
31911	+	32034
32907	+	33042
33432	+	33729
33729	+	33969
35559	+	35718
35805	+	35913
35988	+	36123
36123	+	36225
36303	+	36483
36612	+	36738
39111	+	39900
40461	+	40593
40632	+	40767
40848	+	40965
40965	+	41079
41724	+	43425
43896	+	44106
44133	+	44232
44301	+	44415
45177	+	45288
45318	+	45540
45621	+	45726
45744	+	45849
45873	+	46032
46368	+	46551
47709	+	47874
47874	+	48012
48012	+	48147
48972	+	49098
49098	+	49209
49827	+	51516
51687	+	51795
53982	+	54144
55581	+	56736
56772	+	56892
56892	+	57126
57249	+	57363
57363	+	57504
57846	+	58056
58536	+	58641
58659	+	58764
59148	+	59280
59472	+	59571
59724	+	61002
61056	+	61164
61164	+	61380
61515	+	61623
61623	+	61767
61875	+	62022
63207	+	63312
63366	+	63495
63594	+	63723
64572	+	64938
65655	+	65790
65790	+	65994
66006	+	66288
66486	+	66594
67023	+	67176
67191	+	67455
67917	+	68121
68166	+	68277
68277	+	68376
68484	+	68631
68679	+	68778
69201	+	69312
69696	+	69867
70389	+	70491
71811	+	71940
72045	+	72303
72495	+	73431
73677	+	77682
77817	+	77958
78327	+	78486
78747	+	78855
79122	+	79260
79260	+	79398
79491	+	79596
79728	+	79998
81024	+	82593
82680	+	82788
83058	+	83229
83583	+	83724
83796	+	83994
84051	+	84405
84720	+	84828
85140	+	85278
85932	+	86613
86772	+	87642
87735	+	87840
87912	+	88026
88191	+	90951
91113	+	91239
91752	+	91884
91884	+	94545
95355	+	95499
95988	+	96093
96924	+	97095
97170	+	97305
97356	+	97467
97503	+	97602
97878	+	98022
98022	+	98148
98175	+	98301
98544	+	98742
98790	+	98919
99339	+	99519
99519	+	99651
100800	+	100905
101859	+	101973
102990	+	103128
103179	+	103281
103581	+	103785
103785	+	103917
104301	+	105447
105759	+	105882
106035	+	106185
106269	+	106401
106647	+	109203
109644	+	110352
110793	+	110898
110898	+	111786
111786	+	112722
112830	+	112953
113100	+	113208
113544	+	113652
114078	+	114177
114324	+	114795
114795	+	116871
116871	+	117549
117549	+	118032
118128	+	118236
118332	+	118794
119328	+	119448
119910	+	120009
121146	+	121299
121350	+	121512
122619	+	122736
123567	+	124314
124413	+	125847
126264	+	126615
126990	+	127125
127272	+	128709
128772	+	128883
129126	+	129291
129666	+	129828
129828	+	129933
130158	+	130260
130272	+	131124
131124	+	131379
132327	+	132426
132426	+	132564
133125	+	133284
133284	+	133395
133395	+	133512
133563	+	134169
134844	+	134961
134964	+	135063
135234	+	135348
136092	+	137265
138084	+	139404
139938	+	140154
140616	+	140763
141096	+	141207
141333	+	142053
142053	+	142551
142581	+	142680
143031	+	143142
143304	+	143952
144966	+	146664
146664	+	148233
148293	+	148413
148515	+	148620
149280	+	149472
149472	+	149592
149964	+	150108
150303	+	150432
150501	+	150708
150993	+	151170
151260	+	152718
152967	+	153069
153069	+	153936
154464	+	154587
154635	+	154773
154827	+	154944
154980	+	155433
155496	+	155595
155907	+	156033
156210	+	156573
158004	+	158244
158247	+	158601
158904	+	159021
160854	+	162432
163563	+	165384
165474	+	165669
165912	+	166020
166230	+	166374
166455	+	166578
167151	+	167610
167610	+	167745
167745	+	168030
168042	+	168198
168357	+	169812
169902	+	170094
170184	+	170292
170313	+	170538
170658	+	170826
171024	+	171135
171240	+	171408
172362	+	172515
172611	+	172719
172854	+	173061
173127	+	173241
173241	+	173340
173514	+	173622
173715	+	173820
174066	+	174171
174189	+	174303
174438	+	174576
174621	+	174762
174942	+	175044
175440	+	175623
175623	+	175722
175740	+	175839
176604	+	176706
178005	+	178134
178224	+	178380
178437	+	178566
178746	+	178875
179325	+	179487
179778	+	179880
180105	+	180231
180327	+	180432
180534	+	180792
180951	+	181137
181320	+	181419
181443	+	181557
181581	+	181755
181851	+	181956
182049	+	182154
182256	+	182394
