Frame 1 
1800	+	2757
2775	+	4794
7287	+	8544
8544	+	9180
11229	+	12036
13971	+	14409
17346	+	19239
19242	+	22344
23535	+	24465
26442	+	27342
27342	+	28446
39111	+	39900
41724	+	43425
49827	+	51516
55581	+	56736
59724	+	61002
64572	+	64938
72495	+	73431
73677	+	77682
81024	+	82593
84051	+	84405
85932	+	86613
86772	+	87642
88191	+	90951
91884	+	94545
104301	+	105447
106647	+	109203
109644	+	110352
110898	+	111786
111786	+	112722
114324	+	114795
114795	+	116871
116871	+	117549
117549	+	118032
118332	+	118794
123567	+	124314
124413	+	125847
126264	+	126615
127272	+	128709
130272	+	131124
133563	+	134169
136092	+	137265
138084	+	139404
141333	+	142053
142053	+	142551
143304	+	143952
144966	+	146664
146664	+	148233
151260	+	152718
153069	+	153936
154980	+	155433
156210	+	156573
158247	+	158601
160854	+	162432
163563	+	165384
167151	+	167610
168357	+	169812
183186	+	184050
186081	+	187260
191136	+	191775
193212	+	193656
194841	+	195489
196434	+	196992
198501	+	199149
201024	+	201672
203127	+	203496
203496	+	204498
204501	+	204882
205662	+	206592
208452	+	210387
210387	+	211341
211440	+	213546
214770	+	215526
215997	+	216765
218466	+	219507
231996	+	233031
233031	+	235455
239145	+	239814
239817	+	240192
242208	+	244566
252480	+	253992
255573	+	257118
259170	+	264591
265587	+	266040
267960	+	269244
271788	+	273315
273729	+	274650
279795	+	280671
283383	+	285780
286860	+	288744
291321	+	293442
293925	+	294780
295578	+	295959
298650	+	299055
306078	+	306651
307917	+	309006
309006	+	310377
319173	+	320058
321021	+	321639
336426	+	337086
341442	+	341847
347208	+	348255
349209	+	349674
349674	+	350130
350403	+	351822
355104	+	355854
371031	+	371433
375018	+	376041
395997	+	396990
410646	+	411177
411177	+	411609
411609	+	412218
416967	+	417330
418173	+	418626
418989	+	419418
429564	+	430113
447783	+	448722
449640	+	450216
460113	+	460491
462573	+	464619
473403	+	473865
478989	+	479574
480642	+	481329
483138	+	483678
485235	+	485709
485709	+	486297
502341	+	502731
509460	+	509817
513117	+	513594
520740	+	521313
521874	+	522402
554685	+	555099
555648	+	556449
561129	+	561564
561858	+	562341
576396	+	576792
Frame 2 
676	+	1825
9910	+	11248
12061	+	12721
25990	+	26470
28597	+	29545
29545	+	30121
30535	+	31150
33046	+	33511
36952	+	38974
46906	+	47425
51505	+	52378
53125	+	54652
61393	+	63055
84520	+	85552
85552	+	85996
87304	+	87754
94528	+	96952
98893	+	99316
99376	+	102454
105439	+	106657
109237	+	109672
112702	+	113863
118765	+	120184
120184	+	121384
121501	+	123520
128665	+	129352
135298	+	136117
137245	+	138088
139390	+	140023
143899	+	144955
155440	+	156220
156559	+	158017
162364	+	163588
174973	+	175357
175789	+	179143
190363	+	191140
194449	+	194887
196060	+	196444
197164	+	197599
197599	+	198160
199588	+	201034
202687	+	203131
204868	+	205693
206578	+	207847
215419	+	215878
216754	+	218515
219421	+	220435
220450	+	221560
221560	+	225901
229753	+	230479
230581	+	231367
235501	+	236059
237316	+	239149
240319	+	242221
245605	+	247423
251416	+	251785
253972	+	254599
254599	+	255589
258022	+	259156
266572	+	267088
273298	+	273742
275116	+	276160
276160	+	276625
276634	+	278809
280594	+	281083
281980	+	283324
290635	+	291325
296272	+	296704
296704	+	297139
299428	+	299809
300031	+	300724
301522	+	301885
306757	+	307588
310504	+	312805
313228	+	313876
314140	+	315229
315694	+	318322
318322	+	319204
320164	+	321049
327703	+	328135
330439	+	330841
333871	+	334243
345178	+	346630
352975	+	353392
355819	+	357475
362245	+	362599
362920	+	363271
373975	+	374332
374332	+	374986
381985	+	382579
385000	+	385396
388780	+	389251
393658	+	394009
397447	+	397804
403756	+	404587
419464	+	419824
425458	+	425878
426469	+	426919
427456	+	427834
430945	+	431302
444406	+	445042
446572	+	447787
456565	+	457369
458860	+	459214
460999	+	461686
466099	+	466594
470710	+	471088
479554	+	480223
482386	+	482803
482803	+	483283
485215	+	485647
485764	+	487918
488344	+	488857
489193	+	489565
493414	+	493843
496600	+	496987
497419	+	497803
498613	+	498994
505372	+	505780
512071	+	512485
512485	+	512965
522343	+	522733
522733	+	523087
523306	+	523702
527386	+	527986
533785	+	534319
535132	+	535615
535615	+	536041
539584	+	540526
541234	+	541789
541789	+	542983
545749	+	546199
547069	+	547534
553582	+	553975
557713	+	558946
563983	+	564928
572371	+	572731
573085	+	573553
574876	+	575455
578686	+	579244
Frame 3 
4808	+	7319
9113	+	9917
13037	+	13520
15494	+	17423
22385	+	23555
24425	+	26003
30077	+	30545
40532	+	41783
43397	+	44750
47555	+	49352
52286	+	53216
54629	+	55601
57308	+	57893
57947	+	59075
59075	+	59750
60998	+	61403
63137	+	63677
66293	+	66695
67637	+	68540
70526	+	72569
77654	+	79082
79082	+	81032
82604	+	84041
91007	+	91916
96914	+	98900
103100	+	104324
110294	+	110921
113873	+	114311
125825	+	127283
129341	+	130292
131363	+	133559
134519	+	135335
140027	+	141407
142556	+	143315
148229	+	149156
149183	+	151325
165464	+	167177
167510	+	168227
174074	+	174479
175253	+	175664
179147	+	180743
180995	+	182861
184046	+	184859
184859	+	186146
187292	+	188528
188582	+	189449
189485	+	189953
192038	+	192956
193619	+	194465
195746	+	196118
198119	+	198509
199139	+	199607
201668	+	202421
207839	+	208574
213536	+	214568
225893	+	229064
229436	+	229865
231152	+	231569
236120	+	236618
237740	+	238190
247382	+	247907
250115	+	250805
250982	+	251438
251768	+	252584
258032	+	258494
264587	+	265634
267062	+	268007
269240	+	270356
270398	+	271871
274613	+	275132
281072	+	281960
288737	+	290642
293417	+	293942
303056	+	303434
304982	+	306095
312809	+	313247
323846	+	324419
326528	+	326918
329093	+	329444
329831	+	330284
330431	+	330995
338360	+	340526
340700	+	341057
342941	+	343319
346787	+	347249
348239	+	348848
349571	+	350324
354020	+	355127
365582	+	365975
366317	+	366869
367643	+	368213
370577	+	370982
372926	+	373424
379064	+	379514
380171	+	380741
381014	+	381527
386435	+	387266
389531	+	389945
390443	+	390956
392771	+	393335
397439	+	398294
405440	+	406136
409169	+	409565
410141	+	410687
413204	+	413567
414401	+	414761
420317	+	421355
421448	+	422690
422690	+	423110
428291	+	429659
429842	+	430580
436694	+	437096
437432	+	437867
441881	+	442238
443897	+	444419
450107	+	450719
451190	+	451607
451787	+	452162
452207	+	452693
452693	+	453050
453050	+	453482
454517	+	454886
456296	+	456749
457328	+	458267
459608	+	460100
461648	+	462614
477155	+	479003
484121	+	484664
494945	+	495509
495509	+	496013
496013	+	496622
501272	+	501740
507446	+	507848
510842	+	511373
518087	+	518456
531662	+	533015
533261	+	533693
540506	+	541238
542999	+	544154
546344	+	546716
552863	+	553268
556433	+	557312
566186	+	566588
577526	+	577991
Frame 4 
2859	-	3723
11664	-	12447
16743	-	17292
17469	-	19578
20076	-	21135
