Frame 1
288	+	2796
5487	+	5943
7191	+	7770
9741	+	10296
12159	+	14076
15429	+	16554
18678	+	19617
25194	+	25698
30792	+	34035
34164	+	34692
35181	+	35901
36225	+	36978
39516	+	40020
40857	+	41469
42312	+	43170
51057	+	51543
53961	+	54567
57282	+	58176
58401	+	59121
60300	+	60852
60858	+	61296
61944	+	62577
62721	+	63168
65634	+	66105
67371	+	68643
70320	+	71262
73359	+	73845
74307	+	74865
79437	+	79890
80139	+	80550
82068	+	82470
82887	+	83310
85482	+	87351
89955	+	91032
93141	+	94650
96984	+	98400
100758	+	102237
119238	+	120132
122049	+	122853
125661	+	127584
127863	+	129333
137007	+	138630
139251	+	140154
140172	+	140775
144546	+	145014
145047	+	146307
146307	+	146853
146886	+	147867
158364	+	158907
169248	+	171060
172791	+	174777
176421	+	177861
183774	+	184953
192156	+	193041
194793	+	196050
199242	+	201693
203316	+	203889
203889	+	204681
210987	+	213153
213651	+	214962
216129	+	216588
226062	+	226545
230487	+	231303
236010	+	236871
237390	+	238131
242382	+	242922
244701	+	245454
249630	+	250242
250242	+	250695
250695	+	251331
255954	+	256428
257829	+	259104
259104	+	259563
262032	+	263313
264318	+	264843
268923	+	269334
270792	+	271203
275835	+	276456
281169	+	281637
282807	+	283743
285921	+	287334
289785	+	290598
291870	+	292788
299280	+	299823
301194	+	301626
305775	+	306294
314889	+	315801
316092	+	317010
323484	+	324222
328377	+	328980
344763	+	345828
351795	+	353076
353076	+	354561
354582	+	356487
358047	+	359349
360657	+	361353
361365	+	361854
367500	+	367977
368052	+	369726
370596	+	371556
371556	+	372375
386403	+	387249
404565	+	405021
405789	+	406380
406875	+	407556
412851	+	413310
416547	+	417282
417282	+	418635
421941	+	423783
424452	+	425532
428901	+	429927
433998	+	434568
435081	+	436062
446424	+	447018
452082	+	452544
452988	+	453594
456873	+	458151
468264	+	470094
472332	+	473703
473979	+	474522
484338	+	485007
485199	+	485859
490305	+	490710
497496	+	498468
499557	+	500880
500907	+	501345
509541	+	509976
515991	+	516813
519159	+	519870
522687	+	526992
532443	+	533277
540006	+	541317
541317	+	542484
545109	+	545580
554049	+	555447
561627	+	562770
565365	+	565983
567663	+	568098
584673	+	585162
585399	+	585972
590805	+	591384
598749	+	600165
607023	+	607434
608130	+	608598
608598	+	609192
610797	+	614868
621687	+	622890
622890	+	624510
625305	+	626127
634965	+	635385
636471	+	638148
640212	+	640698
644826	+	646227
650685	+	651372
668973	+	670677
670677	+	671472
671820	+	672330
672456	+	672888
674229	+	675672
680742	+	681207
687762	+	688200
690420	+	691371
697581	+	698439
700752	+	702720
714402	+	714813
718575	+	719064
720255	+	720657
720885	+	721497
721947	+	722349
722916	+	723822
724182	+	724701
730932	+	732483
735096	+	735507
739623	+	740400
741012	+	742005
742749	+	743556
744288	+	744930
749211	+	749640
752643	+	754503
754503	+	755235
755526	+	758337
759810	+	761010
762786	+	764790
775872	+	776418
776418	+	777219
778800	+	779958
781692	+	782181
783864	+	784452
793365	+	794442
794442	+	795147
803505	+	804042
804975	+	805482
807159	+	808365
813783	+	814863
814863	+	815397
819861	+	820407
823338	+	823908
829749	+	832050
832077	+	833040
833337	+	833799
840810	+	841500
850428	+	851595
852756	+	854385
855024	+	855495
863385	+	864363
868695	+	869631
869700	+	870375
872148	+	873492
875043	+	875460
881889	+	882357
883731	+	884250
885741	+	886266
887970	+	888735
888771	+	889698
889716	+	890262
891738	+	892953
892953	+	893916
899061	+	899793
908403	+	908832
908832	+	909261
917154	+	919122
924360	+	924765
934191	+	934812
940239	+	940860
942696	+	943848
958002	+	958713
967677	+	968427
968580	+	969474
970314	+	971151
972378	+	973155
980463	+	981126
981135	+	981573
982971	+	983769
987441	+	990063
991359	+	991932
999702	+	1000260
1002726	+	1003323
1003998	+	1004403
1017930	+	1018596
1021179	+	1023354
1025757	+	1026381
1028922	+	1030086
1033113	+	1033581
1034499	+	1036113
1037394	+	1038744
1040244	+	1040658
1043958	+	1044408
1056069	+	1058631
1059459	+	1060017
1066764	+	1067169
1072005	+	1072491
1072590	+	1073073
1076133	+	1077642
1080093	+	1081476
1094052	+	1094571
1094856	+	1095834
1095873	+	1096626
1101405	+	1101912
1103244	+	1104786
1113036	+	1113441
1113762	+	1114869
1123773	+	1124739
1127997	+	1128444
1128444	+	1128852
1130799	+	1131567
1131720	+	1132521
1133256	+	1134381
