Frame 1 
117	+	246
285	+	396
432	+	483
516	+	567
582	+	648
675	+	810
810	+	954
993	+	1053
1053	+	1206
1239	+	1329
1368	+	1521
1584	+	1668
1683	+	1740
1767	+	1857
1857	+	1926
1926	+	2004
2133	+	2214
2265	+	2379
2673	+	2772
2796	+	2871
3051	+	3150
3153	+	3270
3348	+	3426
3525	+	3633
3693	+	3774
3774	+	3846
3882	+	3954
3987	+	4086
4110	+	4161
4323	+	4446
4464	+	4563
4563	+	4653
4749	+	4800
4917	+	5013
5121	+	5196
5205	+	5274
5445	+	5508
5634	+	5736
5805	+	5874
5952	+	6087
6192	+	6261
6375	+	6426
6453	+	6591
6636	+	7599
7599	+	7674
7758	+	7845
7845	+	7929
7971	+	8130
8130	+	8181
8181	+	8232
8268	+	8325
8334	+	8511
8511	+	8568
8649	+	8772
8772	+	8823
8823	+	8886
8886	+	8952
8952	+	9120
9120	+	9264
9279	+	9378
9378	+	9573
9651	+	9747
9765	+	9888
9888	+	9951
9951	+	10014
10044	+	10323
10323	+	10464
10491	+	10611
10611	+	10689
10725	+	10782
10857	+	10917
10923	+	11004
11046	+	11247
11247	+	11370
11439	+	11550
11550	+	11682
11748	+	11817
11817	+	11886
11889	+	11940
11940	+	12036
12036	+	12096
12108	+	12159
12186	+	12261
12261	+	12372
12375	+	12441
12465	+	12582
12606	+	12663
12699	+	12795
12876	+	13035
13134	+	13206
13206	+	13269
13356	+	13452
13464	+	13548
13569	+	13704
13746	+	14022
14079	+	14142
14175	+	14316
14430	+	14484
14493	+	14691
14838	+	14952
15063	+	15189
15189	+	15243
15423	+	15516
15516	+	15591
15612	+	15702
15744	+	15804
15804	+	15897
16077	+	16131
16218	+	16299
16308	+	16386
16431	+	16506
16506	+	16584
16584	+	16647
16647	+	16752
16956	+	17019
17019	+	17229
17229	+	17349
17397	+	17529
17550	+	17601
17649	+	17760
17949	+	19014
19038	+	19089
19869	+	19920
19947	+	20001
20844	+	20934
21207	+	21264
21315	+	21423
21597	+	21666
21666	+	21729
21846	+	21951
21990	+	22062
