
	    	
EasyGene 1.2 Server - prediction results
Technical University of Denmark

##gff-version 2
##source-version easygene-1.2b
##date 2017-03-29
##Type DNA
# model:  SAM03 Staphylococcus aureus MU50
# seqname		model	feature	start	end	   score       +/-	?	startc	    odds
# --------------------------------------------------------------------------------------------------------------
Chromosome	SAM03	CDS	4381	4683	54.8074	+	0	#GTG	-50.2577
Chromosome	SAM03	CDS	18485	18985	0.155855	+	0	#GTG	-135.865
Chromosome	SAM03	CDS	20160	20447	84.2097	+	0	#ATG	-50.3062
Chromosome	SAM03	CDS	23732	24016	91.8185	+	0	#TTG	-61.9074
Chromosome	SAM03	CDS	23760	24074	38.8419	+	0	#ATG	-63.2983
Chromosome	SAM03	CDS	25159	25527	8.02106	+	0	#GTG	-49.8511
Chromosome	SAM03	CDS	25654	26184	0.0626736	+	0	#GTG	-55.7871
Chromosome	SAM03	CDS	26269	26673	2.33173	+	0	#TTG	-29.4868
Chromosome	SAM03	CDS	28180	28545	8.27937	+	0	#GTG	-35.8576
Chromosome	SAM03	CDS	31873	32145	69.4891	+	0	#GTG	-19.0587
Chromosome	SAM03	CDS	34663	34983	32.0373	+	0	#ATG	-40.6116
Chromosome	SAM03	CDS	40082	40471	4.32755	+	0	#GTG	-69.2196
Chromosome	SAM03	CDS	41346	41753	2.4569	+	0	#ATG	-39.8245
Chromosome	SAM03	CDS	46010	46324	38.8385	+	0	#GTG	-58.1252
Chromosome	SAM03	CDS	48328	48702	6.05463	+	0	#TTG	-32.4571
Chromosome	SAM03	CDS	48998	49624	0.00290684	+	0	#ATG	-32.8521
Chromosome	SAM03	CDS	55220	55696	0.321529	+	0	#ATG	-61.7068
Chromosome	SAM03	CDS	58134	58412	93.8946	+	0	#ATG	-29.4453
Chromosome	SAM03	CDS	65546	66163	0.00440738	+	0	#ATG	-59.4779
Chromosome	SAM03	CDS	69234	69560	26.5291	+	0	#GTG	-38.0861
Chromosome	SAM03	CDS	69790	70149	10.4766	+	0	#TTG	-96.2082
Chromosome	SAM03	CDS	70803	71543	9.97254e-05	+	0	#ATG	-191.811
Chromosome	SAM03	CDS	72648	73064	1.94133	+	0	#GTG	-98.3367
