GLIMMER (ver. 3.02; iterated)  predictions:
 orfID      start     end  frame  score
--------    -----    -----  --    -----
>Chromosome dna:chromosome chromosome:ASM59796v1:Chromosome:1:2764699:1 REF
orf00001      552      394  -1     4.32
orf00002     1018      902  -2    12.69
orf00003     1190      993  -3     9.94
orf00004     3711     1363  -1    10.18
orf00005     5433     3721  -1    10.05
orf00006     6027     5506  -1     3.61
orf00007     6294     6028  -1     9.41
orf00008     6646     7602  +1     5.94
orf00010    10436     8034  -3    12.12
orf00011    11494    10436  -2    12.70
orf00012    12035    11874  -3    10.61
orf00013    12212    12096  -3     3.83
orf00014    12396    12247  -1    10.55
orf00015    12619    12503  -2    13.32
orf00016    13327    13004  -2     8.49
orf00017    14080    13346  -2     7.69
orf00019    14273    14142  -3     2.97
orf00020    14502    14338  -1     6.87
orf00021    15112    14504  -2     6.46
orf00022    15868    15122  -2    11.42
orf00023    17073    15997  -1     9.46
orf00024    17756    17073  -3     8.97
orf00025    17965    19017  +1    10.13
orf00026    19220    21157  +2    11.35
orf00027    21484    21311  -2     9.21
orf00028    22121    21564  -3     9.21
orf00029    22248    23273  +3     7.32
orf00030    23932    23450  -2     8.40
orf00031    24476    23934  -3     9.20
orf00032    24546    24935  +3     8.20
orf00033    25192    24938  -2     3.24
orf00034    25431    26357  +3     9.78
orf00035    26854    26420  -2     9.79
orf00036    27907    26870  -2     9.03
orf00037    28695    28234  -1     8.45
orf00038    29631    28720  -1     7.71
orf00039    30071    30982  +2     7.39
orf00040    34574    31122  -3    11.02
orf00041    36354    35128  -1     6.71
orf00042    36943    36668  -2    11.59
orf00043    37084    37566  +1     7.11
orf00044    37568    37735  +2     3.87
orf00045    39722    37875  -3    12.48
orf00046    39824    40015  +2     9.13
orf00047    40996    40169  -2     9.57
orf00048    41153    41767  +2    10.61
orf00049    41951    43303  +2     6.34
orf00050    43801    43382  -2     8.41
orf00052    45103    44084  -2     9.77
orf00053    46250    45177  -3     8.78
orf00054    47059    46250  -2     6.39
orf00055    47862    47065  -1     5.95
orf00056    48949    47855  -2    10.30
orf00057    49501    48962  -2     7.86
orf00058    49920    49645  -1     7.65
orf00060    51494    50088  -3    14.76
orf00061    52790    51498  -3    15.30
orf00062    53858    52881  -3    15.43
orf00063    54974    53862  -3    13.23
orf00064    55771    55145  -2    13.91
orf00065    56136    56687  +3    10.94
orf00066    57169    57387  +1    11.29
orf00067    57387    59084  +3     9.03
orf00068    59992    59330  -2    12.66
orf00069    61144    60125  -2     6.24
orf00070    62502    61141  -1     7.39
orf00071    62700    62933  +3     6.12
orf00072    64888    63170  -2    12.90
orf00073    65157    64891  -1    10.60
orf00074    65853    65311  -1     9.51
orf00075    67079    65907  -3     9.68
orf00076    68799    67504  -1     5.92
orf00077    68951    69085  +2    22.75
orf00078    69921    70496  +3     7.69
orf00079    70511    71911  +2     8.47
orf00080    71904    72710  +3     3.34
orf00081    74224    72977  -2    12.15
orf00082    75724    74246  -2    12.89
orf00083    76305    75739  -1     9.45
orf00084    77336    76308  -3    12.21
orf00085    78813    77329  -1     8.55
orf00086    80981    78792  -3     9.43
orf00087    81645    80974  -1    10.55
orf00088    81910    81647  -2     9.78
orf00089    82614    81910  -1     9.67
orf00090    83742    82618  -1     7.79
orf00091    84211    83729  -2    11.49
orf00092    84412    85272  +1    12.58
orf00093    86136    86453  +3     8.26
orf00095    86778    86662  -1     2.18
orf00096    87024    88124  +3     8.01
orf00097    88124    90112  +2     8.32
orf00098    90102    90707  +3     6.53
orf00099    90716    90994  +2     4.77
orf00100    92724    91531  -1     7.46
orf00101    93175    94392  +1     8.45
orf00102    94440    94910  +3     8.45
orf00103    95065    95499  +1     6.83
orf00104    95727    99473  +3    11.06
orf00105   100099    99680  -2     3.05
orf00106   100252   101262  +1     3.57
orf00108   101458   102612  +1     7.25
orf00109   103140   104168  +3    11.89
orf00110   104250   105431  +3    10.10
orf00111   105469   105798  +1     3.54
orf00112   106857   106036  -1    13.55
orf00113   107653   106850  -2     8.28
orf00114   109313   107640  -3     8.08
orf00115   110661   109300  -1     6.77
orf00116   110843   111781  +2     9.31
orf00117   112384   111833  -2     9.01
orf00118   112549   112764  +1     8.11
orf00119   112843   112959  +1     5.45
orf00120   113964   113005  -1     9.81
orf00121   114449   114808  +2     8.90
orf00122   115034   114897  -3     3.48
orf00123   115277   115465  +2     5.15
orf00124   116194   115553  -2     8.29
orf00125   116511   116191  -1     5.47
orf00126   118478   116514  -3     3.22
orf00127   120423   119821  -1     4.12
orf00128   120614   120438  -3    10.88
orf00129   120813   121799  +3     9.56
orf00130   122098   121880  -2     8.25
orf00131   122308   122877  +1     4.19
orf00132   124875   123364  -1     6.86
orf00133   126372   125014  -1     6.98
orf00134   128698   126389  -2     8.00
orf00135   129735   128932  -1    10.71
orf00136   131599   130037  -2    11.37
orf00137   131850   131599  -1     5.55
orf00138   133324   131840  -2    10.16
orf00139   133757   134932  +2     5.41
orf00140   135229   135014  -2     7.01
orf00141   135240   136100  +3     3.73
orf00142   136722   136213  -1    11.93
orf00143   137674   136916  -2     7.82
orf00144   139387   137819  -2    10.59
orf00145   139729   140814  +1     7.90
orf00146   141781   141011  -2    13.95
orf00147   143903   142059  -3     8.93
orf00148   145298   143913  -3    11.70
orf00149   146173   145319  -2     3.75
orf00150   146979   146170  -1     7.77
orf00151   147631   146996  -2    10.05
orf00152   147995   147648  -3     9.71
orf00153   148181   148774  +2     6.61
orf00154   148878   149243  +3    10.24
orf00155   149266   150072  +1     6.11
orf00156   152340   150532  -1    10.56
orf00157   153374   152388  -3     4.64
orf00158   154214   153495  -3    11.65
orf00159   154980   154585  -1    10.74
orf00160   155274   156263  +3     9.84
orf00161   157186   156305  -2     7.08
orf00162   158127   157198  -1     5.54
orf00163   159133   158153  -2     8.23
orf00164   160122   159136  -1     7.09
orf00165   161888   160173  -3    10.27
orf00166   163755   162100  -1    10.28
orf00167   164715   163774  -1     9.26
orf00168   165787   164705  -2    11.69
orf00169   166873   165803  -2    10.76
orf00170   167799   166873  -1     9.29
orf00171   168042   168413  +3     3.79
orf00172   169712   168468  -3    14.11
orf00173   170665   169724  -2    12.76
orf00174   170960   171145  +2     9.65
orf00175   171836   171402  -3    10.82
orf00176   172662   172147  -1     7.21
orf00177   173761   172640  -2     3.12
orf00178   174395   173754  -3     6.97
orf00179   175524   174379  -1     3.50
orf00180   175634   176503  +2     4.67
orf00182   179171   176562  -3    10.40
orf00183   181188   179374  -1     5.49
orf00184   182044   181736  -2    12.65
orf00185   182158   182775  +1     9.59
orf00186   182859   182981  +3     9.82
orf00187   183033   184349  +3     9.23
orf00188   184910   184521  -3     7.24
orf00189   186141   185239  -1    13.90
orf00190   189960   186307  -1     9.61
orf00191   193437   189964  -1     8.61
orf00192   194172   193597  -1    11.79
orf00193   194712   194188  -1     5.15
orf00194   195055   194717  -2     5.77
orf00195   196948   195617  -2    13.27
orf00196   197299   198504  +1    10.34
orf00197   198494   199873  +2     7.52
orf00198   200115   201044  +3    10.36
orf00199   202815   201571  -1    12.39
orf00200   204114   202924  -1    13.12
orf00201   205549   204422  -2    12.21
orf00202   206288   205911  -3     4.85
orf00203   207296   206703  -3    13.71
orf00204   207360   207743  +3    11.30
orf00205   207874   210279  +1     8.05
orf00206   210272   210700  +2     8.25
orf00207   210787   211041  +1     8.12
orf00208   211034   212530  +2     7.57
orf00209   212532   213011  +3     6.19
orf00210   213011   213304  +2    10.87
orf00211   213282   213638  +3     8.02
orf00212   213888   215042  +3     7.65
orf00213   215472   215098  -1    10.61
orf00214   216807   215491  -1    10.10
orf00215   218693   217218  -3     9.69
orf00216   220032   218824  -1    14.54
orf00217   220845   220486  -1    13.99
orf00218   221061   220858  -1     7.43
orf00219   221411   222475  +2     8.65
orf00220   222857   222534  -3     6.39
orf00221   222958   223200  +1    13.70
orf00222   224638   223463  -2    10.88
orf00223   224871   224635  -1    15.01
orf00224   226103   224889  -3     6.35
orf00225   227557   226100  -2    11.04
orf00226   227725   227573  -2     6.24
orf00227   229096   228137  -2     9.68
orf00228   229908   229129  -1    13.39
orf00229   230342   229908  -3     9.49
orf00230   230440   230706  +1    13.59
orf00231   232099   230780  -2    12.02
orf00232   232688   232305  -3     7.77
orf00233   233735   232818  -3    10.16
orf00234   235138   233819  -2     7.22
orf00235   235992   235165  -1     8.07
orf00236   236853   236005  -1     8.36
orf00238   238305   237238  -1     6.78
orf00239   239359   238319  -2     7.07
orf00241   239724   240038  +3     5.30
orf00242   241274   240591  -3     5.05
orf00243   241453   241271  -2     2.54
orf00244   242600   241551  -3     3.68
