GLIMMER (ver. 3.02; iterated)  predictions:
 orfID      start     end  frame  score
--------    -----    -----  --    -----
>Chromosome dna:chromosome chromosome:ASM690v1:Chromosome:1:4016947:1 REF
orf00001      202     1107  +1    14.38
orf00002     1152     1703  +3    16.45
orf00003     1700     2557  +2    11.77
orf00005     2559     3158  +3    13.25
orf00006     3190     3903  +1    19.48
orf00007     4022     4810  +2    23.66
orf00009     4960     5235  +1    20.15
orf00010     5636     7108  +2    15.11
orf00011     7790     7170  -3     8.19
orf00012     8165    10060  +2    22.09
orf00013     8131     7787  -2     2.95
orf00014    10223    11380  +2    12.82
orf00015    11467    14178  +1    17.53
orf00018    14199    17021  +3    15.49
orf00019    17494    17018  -2    13.92
orf00020    18042    17491  -1    17.24
orf00023    18731    18492  -3    14.45
orf00024    18495    18043  -1    14.33
orf00025    19784    18735  -3    11.93
orf00026    19815    20447  +3     7.57
orf00028    20668    20444  -2    12.08
orf00029    23032    20840  -2    17.32
orf00031    23559    23029  -1    10.83
orf00032    23760    24074  +3    11.00
orf00033    24091    24981  +1    15.63
orf00034    26643    24991  -1    19.65
orf00035    29403    26701  -1    12.52
orf00036    30185    29502  -3    16.31
orf00039    32914    33546  +1    15.65
orf00040    32658    30337  -1    16.19
orf00042    33607    34329  +1    14.43
orf00043    34698    34312  -1    10.48
orf00044    34938    34699  -1    11.16
orf00046    35292    35047  -1     4.81
orf00047    37962    35824  -1    23.85
orf00049    38480    38211  -3    13.35
orf00050    39427    38495  -2    14.43
orf00051    39879    39430  -1    19.10
orf00053    40768    39980  -2    17.94
orf00054    41367    40828  -1    13.63
orf00055    41915    41403  -3    15.25
orf00056    42511    41960  -2     0.62
orf00058    45527    42585  -3    16.16
orf00059    46543    45893  -2    12.22
orf00060    48268    46622  -2    22.48
orf00062    48807    48271  -1    17.00
orf00064    49104    49637  +3    22.37
orf00066    50030    49644  -3    10.24
orf00067    50748    50131  -1    15.15
orf00068    52124    50901  -3    19.82
orf00069    52678    52244  -2    10.28
orf00070    54298    52706  -2     9.96
orf00072    55170    54295  -1    12.30
orf00074    55703    55230  -3    15.31
orf00078    58011    55723  -1    14.20
orf00079    58608    58201  -1    18.43
orf00080    59106    58654  -1    16.69
orf00081    59750    59115  -3    13.82
orf00084    60386    59754  -3    15.54
orf00085    61121    60534  -3    17.29
orf00086    61763    61191  -3    14.69
orf00087    61885    63153  +1    20.61
orf00089    64418    63327  -3    22.03
orf00090    66091    64529  -2    21.13
orf00091    68127    66331  -1    15.10
orf00093    69062    68289  -3    22.54
orf00094    69443    69120  -3    13.01
orf00095    69774    69493  -1    21.90
orf00096    70804    69794  -2    18.77
orf00097    71977    72945  +1    16.02
orf00098    71829    70801  -1    16.60
orf00099    72950    73636  +2     8.42
orf00100    73680    74576  +3    14.09
orf00102    74573    76108  +2    15.41
orf00105    78678    76477  -1    25.18
orf00106    79908    78703  -1    23.03
orf00108    80358    79975  -1    10.26
orf00109    81530    80355  -3    20.84
orf00111    83326    81533  -2    20.74
orf00113    83893    83414  -2    19.09
orf00114    84087    84728  +3    15.31
orf00115    84972    84763  -1    11.79
orf00117    86880    85222  -1    21.45
orf00118    88680    87043  -1    18.82
orf00119    89053    90642  +1    20.32
orf00120    90661    91413  +1    14.27
orf00122    96290    91467  -3    15.17
orf00123    97737    96628  -1    16.54
orf00124    97841    99385  +2    14.19
orf00126   101874    99466  -1    12.30
orf00128   102943   101960  -2    12.73
orf00129   104042   103149  -3    14.51
orf00130   104929   104039  -2    15.89
orf00131   105237   105028  -1    11.78
orf00132   106230   105310  -1    17.60
orf00133   107332   106334  -2    23.76
orf00134   107402   108280  +2    17.23
orf00135   109233   108943  -1    10.35
orf00137   110942   109239  -3    15.83
orf00138   111659   110979  -3    20.03
orf00140   113034   111745  -1    16.43
orf00141   113151   113375  +3    17.77
orf00142   113463   115160  +3    18.62
orf00144   115990   115289  -2    20.94
orf00146   116088   116786  +3    24.81
orf00147   116834   118099  +2    17.67
orf00148   118457   118260  -3    14.33
orf00149   119144   118467  -3    20.66
orf00151   120059   119160  -3    20.66
orf00152   120675   120169  -1    22.64
orf00153   120752   121498  +2    16.21
orf00154   121527   121892  +3    10.09
orf00155   121984   122544  +1    18.28
orf00156   122547   122852  +3    21.10
orf00159   122939   126268  +2    17.60
orf00160   127753   126407  -2    21.85
orf00161   127915   129735  +1    20.99
orf00164   129746   131989  +2     3.10
orf00165   131977   132438  +1    19.30
orf00167   132435   132953  +3    13.85
orf00168   133408   132950  -2    16.18
orf00169   133827   133417  -1    20.83
orf00170   133900   134682  +1    21.46
orf00171   135413   134826  -3    18.15
orf00172   136177   135509  -2    21.44
orf00173   136591   136184  -2    19.34
orf00174   136811   137011  +2    14.00
orf00175   138472   137246  -2    22.08
orf00176   138917   138555  -3    13.76
orf00179   140918   138921  -3    21.64
orf00180   141119   141541  +2    14.71
orf00181   141633   142433  +3    19.36
orf00183   142680   143894  +3    21.66
orf00185   143989   144417  +1    20.62
orf00187   144443   145276  +2    14.14
orf00188   146952   145273  -1    20.15
orf00190   148530   146986  -1    17.79
orf00192   148752   150944  +3    14.92
orf00193   152600   150993  -3    12.92
orf00194   153662   152709  -3    19.05
orf00196   154533   153718  -1    18.20
orf00197   154912   154535  -2    10.17
orf00198   155784   154912  -1    16.55
orf00199   156973   155819  -2    16.80
orf00200   157593   158186  +3    15.11
orf00202   157568   156966  -3    17.50
orf00203   158354   158470  +2    20.02
orf00204   158546   159079  +2    19.52
orf00206   159096   159323  +3    17.14
orf00207   160297   159320  -2    18.98
orf00208   161180   160464  -3    19.96
orf00209   161320   162396  +1    16.21
orf00210   162409   163035  +1    22.44
orf00213   163413   164531  +3    22.55
orf00215   164664   164951  +3     9.87
orf00216   165022   165393  +1    18.50
orf00218   165621   166784  +3    11.24
