
	    	
EasyGene 1.2 Server - prediction results
Technical University of Denmark

##gff-version 2
##source-version easygene-1.2b
##date 2017-03-29
##Type DNA
# model:  EC03 Escherichia coli K12
# seqname		model	feature	start	end	   score       +/-	?	startc	    odds
# --------------------------------------------------------------------------------------------------------------
Chromosome	EC03	CDS	686	1828	5.22194e-07	+	0	#ATG	28.7237
Chromosome	EC03	CDS	1828	2073	90.2874	+	0	#ATG	0.2979
Chromosome	EC03	CDS	3010	3255	53.1545	+	0	#ATG	2.4821
Chromosome	EC03	CDS	3739	4557	1.24891e-05	+	0	#GTG	36.4362
Chromosome	EC03	CDS	4666	4797	75.7361	+	0	#TTG	2.8862
Chromosome	EC03	CDS	4812	7322	1.6149e-22	+	0	#ATG	99.3218
Chromosome	EC03	CDS	7294	7857	0.0073428	+	0	#ATG	23.5772
Chromosome	EC03	CDS	8368	8547	12.6052	+	0	#ATG	8.0356
Chromosome	EC03	CDS	8551	9183	0.00246549	+	0	#ATG	24.6353
Chromosome	EC03	CDS	9923	11059	8.07382e-13	+	0	#ATG	81.6365
Chromosome	EC03	CDS	11251	11892	0.00148293	+	0	#ATG	26.2185
Chromosome	EC03	CDS	15555	16310	0.0325523	+	0	#ATG	-0.2405
Chromosome	EC03	CDS	16647	16967	11.9197	+	0	#TTG	5.3292
Chromosome	EC03	CDS	17001	17426	1.53909	+	0	#ATG	8.5914
Chromosome	EC03	CDS	17851	18414	1.01227	+	0	#ATG	-1.0585
Chromosome	EC03	CDS	18886	19242	4.99828	+	0	#ATG	7.2189
Chromosome	EC03	CDS	19252	19623	13.0379	+	0	#ATG	1.8516
Chromosome	EC03	CDS	19825	20736	1.79268e-05	+	0	#ATG	29.2893
Chromosome	EC03	CDS	20743	21177	1.24918	+	0	#TTG	8.9991
Chromosome	EC03	CDS	21577	22128	0.0921524	+	0	#ATG	13.6502
Chromosome	EC03	CDS	22482	23558	1.54931e-10	+	0	#ATG	66.6846
Chromosome	EC03	CDS	23968	24135	9.01394	+	0	#ATG	8.75
Chromosome	EC03	CDS	25371	25766	0.152937	+	0	#ATG	18.6306
Chromosome	EC03	CDS	26297	26473	5.28473	+	0	#ATG	10.1738
Chromosome	EC03	CDS	26479	27030	0.00517457	+	0	#ATG	25.3473
Chromosome	EC03	CDS	27346	28233	0.000158795	+	0	#ATG	20.0094
Chromosome	EC03	CDS	28730	29305	0.640059	+	0	#TTG	0.7492
Chromosome	EC03	CDS	29552	30124	2.10722e-06	+	0	#ATG	48.129
Chromosome	EC03	CDS	30330	30548	50.4413	+	0	#TTG	3.522
Chromosome	EC03	CDS	30900	30965	32.4467	+	0	#ATG	2.1434
Chromosome	EC03	CDS	30983	31153	7.06021	+	0	#ATG	9.3862
Chromosome	EC03	CDS	37148	37957	8.84057e-08	+	0	#ATG	53.8833
Chromosome	EC03	CDS	40827	41069	1.79463	+	0	#ATG	13.3814
Chromosome	EC03	CDS	41319	41567	0.437831	+	0	#TTG	17.0238
Chromosome	EC03	CDS	42352	42888	0.0329534	+	0	#ATG	18.9538
Chromosome	EC03	CDS	43180	43404	29.3082	+	0	#ATG	5.2484
Chromosome	EC03	CDS	43593	44258	0.0630808	+	0	#TTG	6.1402
Chromosome	EC03	CDS	47580	47855	96.9135	+	0	#ATG	-1.7151
Chromosome	EC03	CDS	48618	48929	2.41658	+	0	#GTG	11.6056
Chromosome	EC03	CDS	49376	49642	8.53031	+	0	#ATG	8.4642
Chromosome	EC03	CDS	49840	50163	8.37557	+	0	#TTG	6.6395
Chromosome	EC03	CDS	50839	51168	24.8547	+	0	#ATG	1.5081
Chromosome	EC03	CDS	51863	52357	0.534662	+	0	#TTG	9.1069
Chromosome	EC03	CDS	52491	52769	29.7927	+	0	#GTG	3.4608
Chromosome	EC03	CDS	52848	53207	81.6745	+	0	#TTG	-8.5239
Chromosome	EC03	CDS	53204	53488	84.3955	+	0	#ATG	-1.6128
Chromosome	EC03	CDS	53735	54568	4.0482e-06	+	0	#GTG	40.083
Chromosome	EC03	CDS	54657	55271	0.0132752	+	0	#ATG	18.5044
Chromosome	EC03	CDS	56284	56478	11.7926	+	0	#ATG	8.2741
Chromosome	EC03	CDS	58716	59078	0.252466	+	0	#ATG	17.7788
Chromosome	EC03	CDS	59082	59753	0.00261721	+	0	#ATG	22.2406
Chromosome	EC03	CDS	59740	60663	5.21075e-08	+	0	#ATG	52.1939
Chromosome	EC03	CDS	60841	61005	11.7809	+	0	#ATG	8.0518
Chromosome	EC03	CDS	61014	61406	21.8264	+	0	#ATG	-2.9151
Chromosome	EC03	CDS	61406	62353	1.00764e-05	+	0	#ATG	29.4502
Chromosome	EC03	CDS	62495	62785	15.6072	+	0	#GTG	5.5475
Chromosome	EC03	CDS	62840	63058	51.6043	+	0	#GTG	3.4417
Chromosome	EC03	CDS	70863	72572	2.06621e-14	+	0	#TTG	69.4858
Chromosome	EC03	CDS	72667	73434	0.00100662	+	0	#ATG	20.1975
Chromosome	EC03	CDS	73690	74580	0.000105234	+	0	#GTG	21.9882
Chromosome	EC03	CDS	76078	76572	0.778466	+	0	#ATG	7.219
Chromosome	EC03	CDS	76603	77637	8.14863e-06	+	0	#TTG	23.2207
Chromosome	EC03	CDS	78198	78326	76.8312	+	0	#TTG	2.8085
Chromosome	EC03	CDS	78396	79079	0.000631062	+	0	#GTG	27.5543
Chromosome	EC03	CDS	79161	79940	8.46615e-06	+	0	#ATG	39.6518
Chromosome	EC03	CDS	80286	81035	9.35406e-05	+	0	#ATG	31.8809
Chromosome	EC03	CDS	82620	84044	1.63232e-09	+	0	#GTG	34.8095
Chromosome	EC03	CDS	85709	85942	70.4775	+	0	#ATG	1.8196
Chromosome	EC03	CDS	86263	86535	67.5652	+	0	#GTG	0.2036
Chromosome	EC03	CDS	88321	88629	92.6472	+	0	#ATG	-3.9671
Chromosome	EC03	CDS	90460	90954	0.00303064	+	0	#GTG	28.8023
Chromosome	EC03	CDS	91167	91382	32.7155	+	0	#ATG	5.0566
Chromosome	EC03	CDS	92257	92652	13.8557	+	0	#TTG	-0.4189
Chromosome	EC03	CDS	93160	93654	0.110963	+	0	#ATG	16.105
Chromosome	EC03	CDS	93739	94134	0.536102	+	0	#ATG	14.286
Chromosome	EC03	CDS	94535	95782	6.20416e-10	+	0	#ATG	53.6326
Chromosome	EC03	CDS	95783	96697	1.67807e-05	+	0	#ATG	29.3908
Chromosome	EC03	CDS	96752	96955	38.488	+	0	#ATG	4.7256
Chromosome	EC03	CDS	96933	98903	1.4206e-18	+	0	#ATG	94.8182
Chromosome	EC03	CDS	99383	101779	1.8423e-23	+	0	#ATG	116.802
Chromosome	EC03	CDS	103380	104123	0.0249151	+	0	#GTG	3.4433
Chromosome	EC03	CDS	104320	104805	10.2792	+	0	#ATG	-8.9751
Chromosome	EC03	CDS	105452	106564	1.48919e-08	+	0	#ATG	48.0988
Chromosome	EC03	CDS	106711	107547	3.86834e-05	+	0	#ATG	30.7388
Chromosome	EC03	CDS	107653	108009	0.358458	+	0	#TTG	16.7938
Chromosome	EC03	CDS	108073	109179	1.10582e-08	+	0	#ATG	49.677
Chromosome	EC03	CDS	109355	109675	0.00695054	+	0	#ATG	27.5508
Chromosome	EC03	CDS	109675	109992	0.588875	+	0	#ATG	15.9669
Chromosome	EC03	CDS	110355	110924	0.00234582	+	0	#ATG	27.5089
Chromosome	EC03	CDS	111445	111789	0.213941	+	0	#GTG	18.6022
Chromosome	EC03	CDS	111790	112725	1.21564e-07	+	0	#ATG	48.6951
Chromosome	EC03	CDS	112820	113626	0.00349446	+	0	#ATG	9.5294
Chromosome	EC03	CDS	114331	114798	1.98497	+	0	#ATG	4.3917
Chromosome	EC03	CDS	115276	116874	1.77763e-14	+	0	#GTG	77.078
Chromosome	EC03	CDS	116926	117396	0.165003	+	0	#ATG	15.6629
Chromosome	EC03	CDS	117553	117702	74.8546	+	0	#ATG	3.057
Chromosome	EC03	CDS	117745	118035	15.3593	+	0	#ATG	5.6099
Chromosome	EC03	CDS	118028	118342	12.8336	+	0	#ATG	5.3046
Chromosome	EC03	CDS	118345	118797	0.0106927	+	0	#ATG	25.7846
Chromosome	EC03	CDS	118781	119410	0.000107634	+	0	#ATG	36.0473
Chromosome	EC03	CDS	119480	120187	0.00101412	+	0	#ATG	24.2387
Chromosome	EC03	CDS	120191	120538	5.58726	+	0	#ATG	7.1922
Chromosome	EC03	CDS	121214	121387	24.1354	+	0	#ATG	6.2731
Chromosome	EC03	CDS	121571	123202	5.47651e-14	+	0	#TTG	70.3104
Chromosome	EC03	CDS	123254	123523	36.8553	+	0	#ATG	2.9805
Chromosome	EC03	CDS	124720	125154	7.1296	+	0	#GTG	-0.0372
Chromosome	EC03	CDS	125533	125850	1.21272	+	0	#ATG	13.7268
Chromosome	EC03	CDS	125853	126662	0.000580629	+	0	#GTG	19.6992
Chromosome	EC03	CDS	126993	127253	21.5991	+	0	#GTG	5.3817
Chromosome	EC03	CDS	127279	128712	1.81539e-12	+	0	#ATG	67.3223
Chromosome	EC03	CDS	128906	129355	1.27412	+	0	#GTG	7.9677
Chromosome	EC03	CDS	129348	130295	2.89959e-05	+	0	#ATG	24.0333
Chromosome	EC03	CDS	130417	131022	0.146912	+	0	#GTG	6.9611
Chromosome	EC03	CDS	131748	132965	3.61423e-08	+	0	#GTG	36.6026
Chromosome	EC03	CDS	133149	133562	0.069666	+	0	#ATG	20.7429
Chromosome	EC03	CDS	134769	135338	0.000131604	+	0	#GTG	36.8345
Chromosome	EC03	CDS	135806	136120	1.76472	+	0	#ATG	12.5768
Chromosome	EC03	CDS	136363	137028	0.00347544	+	0	#GTG	21.3507
Chromosome	EC03	CDS	137531	138058	0.745049	+	0	#TTG	4.7097
Chromosome	EC03	CDS	138112	138867	0.0342319	+	0	#ATG	-0.6543
Chromosome	EC03	CDS	138931	139293	6.3358	+	0	#TTG	5.8797
Chromosome	EC03	CDS	139547	140026	0.00987864	+	0	#TTG	25.4112
Chromosome	EC03	CDS	140466	141266	0.000482741	+	0	#TTG	21.3648
Chromosome	EC03	CDS	141367	141669	56.7394	+	0	#ATG	-0.8114
Chromosome	EC03	CDS	142315	142554	47.678	+	0	#ATG	3.1161
Chromosome	EC03	CDS	142563	143096	0.445683	+	0	#ATG	7.0686
Chromosome	EC03	CDS	143193	143318	9.38559	+	0	#ATG	7.6326
Chromosome	EC03	CDS	143311	143514	72.8487	+	0	#ATG	2.5914
Chromosome	EC03	CDS	143936	144676	0.0215172	+	0	#ATG	4.8604
Chromosome	EC03	CDS	144973	146136	4.5077e-12	+	0	#ATG	75.5681
Chromosome	EC03	CDS	146413	146667	53.118	+	0	#ATG	2.1248
Chromosome	EC03	CDS	147379	147807	11.9388	+	0	#GTG	-2.7071
Chromosome	EC03	CDS	148239	148436	39.426	+	0	#ATG	4.7305
Chromosome	EC03	CDS	149199	149360	0.412426	+	0	#ATG	15.2217
Chromosome	EC03	CDS	149745	150968	1.95452e-08	+	0	#GTG	39.2751
Chromosome	EC03	CDS	151306	152298	1.52468e-07	+	0	#ATG	45.1342
Chromosome	EC03	CDS	152443	152721	0.0197413	+	0	#ATG	24.6083
Chromosome	EC03	CDS	154999	155436	0.397744	+	0	#ATG	13.6905
Chromosome	EC03	CDS	155444	156223	0.00300966	+	0	#ATG	13.24
Chromosome	EC03	CDS	156241	156576	6.787	+	0	#TTG	6.9536
Chromosome	EC03	CDS	156566	157858	1.51189e-10	+	0	#ATG	56.9683
Chromosome	EC03	CDS	158299	158604	29.2958	+	0	#TTG	2.1858
Chromosome	EC03	CDS	159798	160100	0.0303375	+	0	#ATG	23.9191
Chromosome	EC03	CDS	161119	161391	25.5482	+	0	#TTG	4.3246
Chromosome	EC03	CDS	161458	161856	0.020185	+	0	#ATG	24.7769
Chromosome	EC03	CDS	161902	162435	5.04584e-06	+	0	#ATG	45.9779
