GLIMMER (ver. 3.02; iterated)  predictions:
 orfID      start     end  frame  score
--------    -----    -----  --    -----
>Chromosome dna:chromosome chromosome:ASM2732v1:Chromosome:1:580076:1 REF
orf00001   579846        3  +1     3.70
orf00002      686     1828  +2     5.73
orf00003     1828     2073  +1     9.65
orf00005     2605     2760  +1     1.81
orf00006     2845     2979  +1     5.92
orf00007     3010     3255  +1     6.99
orf00009     3319     3513  +1     7.25
orf00010     3529     4557  +1     9.81
orf00012     4645     4797  +1    14.04
orf00014     4812     7322  +3     7.39
orf00015     7294     7857  +1     9.49
orf00016     8107     8295  +1     8.36
orf00018     8296     8547  +1    11.93
orf00020     8551     9183  +1    10.33
orf00021     9156     9323  +3     3.04
orf00022     9468     9755  +3     9.01
orf00023     9923    11059  +2    10.73
orf00024    11251    11892  +1     9.46
orf00025    12068    12244  +2     7.11
orf00026    12681    12505  -1     0.96
orf00027    13564    13256  -2     7.28
orf00028    14057    13569  -3     9.56
orf00030    14432    14217  -3     8.97
orf00032    15138    14503  -1     8.88
orf00033    15280    15396  +1     0.08
orf00034    15555    16310  +3     7.73
orf00035    16536    16967  +3     5.36
orf00036    17001    17426  +3    12.93
orf00037    17512    17784  +1     5.96
orf00038    17809    18414  +1     7.06
orf00039    18886    19242  +1     8.09
orf00040    19252    19623  +1    10.59
orf00041    19825    20736  +1     9.48
orf00042    20743    21177  +1    10.57
orf00043    21208    21321  +1     5.16
orf00044    21577    22128  +1    12.77
orf00045    22389    23558  +3     8.26
orf00046    23638    23838  +1    12.55
orf00047    23968    24135  +1    11.86
orf00049    24214    24468  +1    10.41
orf00050    24468    24710  +3     7.69
orf00051    25371    25766  +3     9.94
orf00052    25770    26006  +3     6.20
orf00053    26261    26473  +2    11.35
orf00054    26479    27030  +1    12.39
orf00056    27049    27345  +1    12.98
orf00057    27346    28233  +1    11.11
orf00058    28333    28449  +1     4.84
orf00059    28730    29305  +2     7.85
orf00060    29351    29470  +2     2.84
orf00062    29561    30124  +2     9.72
orf00063    30105    30260  +3     7.56
orf00064    30330    30548  +3    11.34
orf00065    30626    30787  +2     7.10
orf00066    30983    31153  +2    11.07
orf00068    31703    31143  -3     7.38
orf00069    32325    31705  -1     8.75
orf00070    32820    32359  -1    11.15
orf00071    33054    32851  -1    12.34
orf00073    33384    33130  -1     7.90
orf00074    33900    33463  -1     9.14
orf00076    34353    34195  -1     9.39
orf00077    35109    34435  -1    11.45
orf00078    35580    35113  -1    12.23
orf00079    36195    35902  -1    11.70
orf00080    36714    36514  -1     8.81
orf00081    36977    37957  +2    10.35
orf00084    38312    38440  +2     9.71
orf00085    38735    38977  +2     7.50
orf00086    39175    39291  +1    11.27
orf00088    39538    39690  +1     4.88
orf00089    39691    39813  +1     7.71
orf00091    40542    41069  +3    11.07
orf00092    41151    41297  +3    12.34
orf00094    41319    41567  +3    10.68
orf00095    41933    41724  -3     0.55
orf00096    42352    42888  +1     9.75
orf00098    42935    43093  +2     1.26
orf00099    43180    43404  +1     9.76
orf00100    43404    43565  +3     6.20
orf00101    43593    44258  +3     9.84
orf00102    44403    44753  +3     5.61
orf00103    44792    44917  +2     4.40
orf00104    45070    44891  -2    17.20
orf00106    45442    45188  -2     9.36
orf00107    45606    45866  +3     6.10
orf00109    46276    46139  -2     8.22
orf00110    46671    46297  -1    11.51
orf00112    47109    46975  -1    10.24
orf00113    47421    47203  -1     8.64
orf00116    47580    47855  +3     9.04
orf00118    48333    48929  +3    11.46
orf00120    48945    49190  +3     6.89
orf00121    49376    49642  +2    12.55
orf00122    49840    50163  +1     8.16
orf00123    50572    50724  +1    10.44
orf00124    50839    51168  +1    10.99
orf00125    51572    51700  +2    12.14
orf00126    51722    51835  +2     5.76
orf00129    51863    52357  +2     8.32
orf00130    52365    52769  +3     8.83
orf00132    52842    53207  +3     4.68
orf00133    53204    53488  +2     8.38
orf00135    53735    54568  +2    13.20
orf00136    54657    55271  +3     8.42
orf00137    55443    55604  +3    10.18
orf00138    55588    55818  +1     8.88
orf00139    55963    56478  +1    11.73
orf00140    56715    56972  +3     8.65
orf00141    57175    57056  -2     8.11
orf00142    57904    57194  -2    10.63
orf00144    58279    57944  -2    10.08
orf00145    58284    58691  +3     5.74
orf00146    58716    59078  +3    14.08
orf00147    59082    59753  +3     8.68
orf00149    59740    60663  +1    14.42
orf00150    60841    61005  +1     4.87
orf00152    61014    61406  +3     4.87
orf00153    61406    62353  +2     9.69
orf00154    62459    62785  +2    11.23
orf00155    62840    63058  +2     9.53
orf00156    63556    63035  -2    12.87
orf00157    63534    63680  +3     3.80
orf00158    63985    63662  -2     9.35
orf00160    64360    64145  -2    12.18
orf00162    64910    64668  -3     8.91
orf00163    65730    65131  -1     9.17
orf00164    66248    65865  -3    13.35
orf00165    67120    66227  -2     9.62
orf00167    67643    67293  -3    10.50
orf00168    67650    67916  +3     9.97
orf00169    67978    68094  +1     2.42
orf00170    68091    68303  +3     7.79
orf00172    68989    68591  -2    10.91
orf00173    69141    69254  +3    10.56
orf00174    69979    69269  -2     9.09
orf00175    70225    69992  -2     6.69
orf00176    70530    70796  +3    10.88
orf00177    70824    72572  +3     9.36
orf00178    72667    73434  +1     8.77
orf00179    73523    73648  +2     8.65
orf00180    73690    74580  +1    10.42
orf00181    75029    74895  -3     8.33
orf00182    75085    75393  +1     7.40
orf00183    75433    75642  +1     7.53
orf00184    75682    75816  +1    12.14
orf00186    76078    76572  +1    12.67
orf00187    76582    77637  +1    10.85
orf00189    77685    77885  +3     9.78
orf00190    78210    78326  +3    10.68
orf00191    78396    79079  +3    12.91
orf00192    79089    79940  +3     8.49
orf00194    79995    81035  +3     9.21
orf00195    81073    81294  +1    10.45
orf00196    81529    81714  +1    13.61
orf00198    82402    82539  +1    10.20
orf00200    82656    84044  +3     8.89
orf00201    84082    84312  +1     7.25
orf00202    84744    84532  -1     7.08
orf00203    84776    85051  +2     8.06
orf00204    85319    85555  +2    13.05
orf00205    85598    85942  +2     9.05
orf00206    86141    86025  -3    10.38
orf00207    86276    86154  -3     2.06
orf00208    86263    86535  +1    12.09
orf00209    86827    87033  +1    10.44
orf00210    87040    87210  +1     2.95
orf00211    87518    87634  +2    12.64
orf00212    87936    87823  -1     1.38
orf00214    88321    88629  +1    10.13
orf00215    89333    89076  -3     5.05
orf00217    89617    89823  +1    14.56
orf00218    89992    90366  +1    14.52
orf00220    90373    90954  +1    11.43
orf00221    91167    91382  +3     6.98
orf00223    91641    91919  +3    12.54
orf00224    92257    92652  +1    11.16
orf00226    92812    93084  +1     9.28
orf00227    93160    93654  +1     9.45
orf00229    93739    94134  +1    11.40
orf00231    94397    94170  -3     8.33
orf00232    94390    94548  +1     6.40
orf00233    94535    95782  +2     9.13
orf00235    95783    96697  +2     9.76
orf00236    96707    96955  +2    12.26
orf00237    96933    98903  +3     8.80
orf00238    98906    99112  +2     5.01
orf00239    99383   101779  +2     9.77
orf00241   102344   102457  +2     4.28
orf00242   102870   102454  -1    10.32
orf00243   103161   103304  +3     9.69
