
	    	
EasyGene 1.2 Server - prediction results
Technical University of Denmark

##gff-version 2
##source-version easygene-1.2b
##date 2017-03-29
##Type DNA
# model:  SAM03 Staphylococcus aureus MU50
# seqname		model	feature	start	end	   score       +/-	?	startc	    odds
# --------------------------------------------------------------------------------------------------------------
Chromosome	SAM03	CDS	686	1828	1.61045e-15	+	0	#ATG	67.8191
Chromosome	SAM03	CDS	1828	2073	1.29863	+	0	#ATG	7.6776
Chromosome	SAM03	CDS	3010	3255	1.11991	+	0	#ATG	8.1747
Chromosome	SAM03	CDS	3319	3513	10.9912	+	0	#TTG	2.9576
Chromosome	SAM03	CDS	3739	4557	7.51255e-12	+	0	#GTG	61.198
Chromosome	SAM03	CDS	4645	4797	21.8825	+	0	#ATG	2.2676
Chromosome	SAM03	CDS	6937	6996	45.5842	+	0	#ATG	-0.8833
Chromosome	SAM03	CDS	4812	7322	1.14583e-46	+	0	#ATG	221.748
Chromosome	SAM03	CDS	7294	7857	4.08376e-07	+	0	#ATG	39.9863
Chromosome	SAM03	CDS	8107	8295	1.48035	+	0	#TTG	9.1464
Chromosome	SAM03	CDS	8296	8547	0.676941	+	0	#ATG	9.5454
Chromosome	SAM03	CDS	8551	9183	5.78531e-08	+	0	#ATG	42.5463
Chromosome	SAM03	CDS	9468	9755	0.0407735	+	0	#TTG	16.7649
Chromosome	SAM03	CDS	9923	11059	2.20512e-21	+	0	#ATG	111.906
Chromosome	SAM03	CDS	11251	11892	1.80479e-07	+	0	#ATG	37.9992
Chromosome	SAM03	CDS	12068	12244	32.9935	+	0	#ATG	0.0198
Chromosome	SAM03	CDS	15555	16310	7.04555e-07	+	0	#ATG	19.2633
Chromosome	SAM03	CDS	16536	16967	0.00476204	+	0	#ATG	15.5459
Chromosome	SAM03	CDS	17001	17426	2.74359e-05	+	0	#ATG	33.1378
Chromosome	SAM03	CDS	17512	17784	1.11794	+	0	#TTG	6.5922
Chromosome	SAM03	CDS	17851	18414	0.00121458	+	0	#ATG	5.3779
Chromosome	SAM03	CDS	18886	19242	0.0732163	+	0	#ATG	10.8413
Chromosome	SAM03	CDS	19252	19623	0.117729	+	0	#ATG	7.3679
Chromosome	SAM03	CDS	19825	20736	8.05577e-11	+	0	#ATG	44.936
Chromosome	SAM03	CDS	20743	21177	3.30807e-05	+	0	#TTG	32.3016
Chromosome	SAM03	CDS	21577	22128	7.9017e-07	+	0	#ATG	38.5079
Chromosome	SAM03	CDS	22389	23558	4.36341e-21	+	0	#ATG	108.868
Chromosome	SAM03	CDS	23638	23838	0.466211	+	0	#TTG	12.0152
Chromosome	SAM03	CDS	23983	24135	2.23023	+	0	#ATG	8.2985
Chromosome	SAM03	CDS	24468	24710	2.36147	+	0	#ATG	5.7623
Chromosome	SAM03	CDS	25371	25766	0.000593562	+	0	#ATG	25.2556
Chromosome	SAM03	CDS	26261	26473	0.26957	+	0	#ATG	13.2881
Chromosome	SAM03	CDS	26479	27030	1.71286e-11	+	0	#ATG	66.0957
Chromosome	SAM03	CDS	27049	27345	0.0437032	+	0	#TTG	16.2341
Chromosome	SAM03	CDS	27346	28233	6.5418e-13	+	0	#ATG	65.1754
Chromosome	SAM03	CDS	28730	29305	0.000522864	+	0	#TTG	8.7172
Chromosome	SAM03	CDS	29552	30124	1.41729e-09	+	0	#ATG	55.5967
Chromosome	SAM03	CDS	30093	30260	21.5332	+	0	#ATG	1.8672
Chromosome	SAM03	CDS	30330	30548	0.257855	+	0	#TTG	13.3252
Chromosome	SAM03	CDS	30983	31153	3.80242	+	0	#ATG	6.8725
Chromosome	SAM03	CDS	36977	37957	6.38396e-14	+	0	#ATG	67.0587
Chromosome	SAM03	CDS	38735	38977	14.2559	+	0	#GTG	-1.5884
Chromosome	SAM03	CDS	40542	41069	0.000992589	+	0	#ATG	12.2639
