GLIMMER (ver. 3.02; iterated)  predictions:
 orfID      start     end  frame  score
--------    -----    -----  --    -----
>Chromosome dna:chromosome chromosome:ASM80076v1:Chromosome:1:4558660:1 REF
orf00001      337     2799  +1    12.13
orf00002     2801     3733  +2    11.55
orf00004     3734     5020  +2    14.66
orf00005     5234     5530  +2     1.02
orf00008     6459     5683  -1    12.61
orf00010     7911     6529  -1     7.66
orf00011     8238     9191  +3    14.15
orf00012     9306     9893  +3    12.57
orf00013    10494     9928  -1    16.13
orf00016    11356    10643  -2    10.56
orf00017    11786    11382  -3     8.79
orf00019    12163    14079  +1    12.93
orf00020    14168    15298  +2    10.78
orf00021    15445    16557  +1     7.10
orf00022    17489    18655  +2    10.14
orf00023    18715    19620  +1     8.57
orf00024    20314    19811  -2    17.26
orf00026    21000    20815  -1     9.53
orf00027    21407    22348  +2     8.97
orf00029    22391    25207  +2    13.22
orf00030    25207    25701  +1    13.19
orf00031    25826    26275  +2    14.94
orf00033    26277    27227  +3    15.68
orf00035    27293    28207  +2    10.24
orf00037    28374    29195  +3    12.89
orf00039    29474    29611  +2     1.14
orf00040    29651    30799  +2    12.16
orf00043    30817    34038  +1    16.27
orf00046    34300    34695  +1     7.68
orf00047    35371    34781  -2     8.06
orf00048    36270    35377  -1    15.99
orf00049    37824    36271  -1    10.68
orf00051    39115    37898  -2    14.08
orf00052    40386    39244  -1    13.08
orf00053    41931    40417  -1    11.49
orf00054    42403    43173  +1    15.63
orf00055    43188    44129  +3    15.42
orf00057    44180    45466  +2    12.92
orf00058    45463    45750  +1    14.64
orf00060    45807    47138  +3    13.41
orf00061    47246    47776  +2     9.65
orf00062    47769    49631  +3    15.05
orf00063    49712    50302  +2    11.13
orf00064    51222    50380  -1    11.68
orf00065    51480    51229  -1     8.42
orf00066    52430    51609  -3    12.18
orf00067    53416    52427  -2    10.45
orf00068    54702    53416  -1    14.26
orf00069    57109    54755  -2     8.43
orf00070    57364    58179  +1    13.39
orf00072    58474    59124  +1     0.78
orf00073    59121    59279  +3     2.27
orf00074    60346    59687  -2    11.78
orf00075    63117    60358  -1    15.97
orf00076    65780    63429  -3    12.35
orf00077    66550    65855  -2    13.81
orf00078    68337    66835  -1    14.10
orf00081    70048    68348  -2    13.39
orf00083    70336    71265  +1     9.66
orf00084    71351    72115  +2    16.22
orf00085    72927    72229  -1    11.00
orf00086    74521    72911  -2    14.04
orf00087    75480    74497  -1    14.45
orf00089    77299    75644  -2    12.13
orf00090    77388    77519  +3     7.76
orf00092    77621    78799  +2     8.73
orf00093    79453    78848  -2    15.56
orf00094    80864    79464  -3    15.62
orf00095    81958    80867  -2    13.81
orf00096    83529    81958  -1    13.44
orf00097    84169    84291  +1     2.94
orf00098    84368    85312  +2     8.32
orf00100    85654    87354  +1     9.54
orf00101    87327    87848  +3    10.20
orf00103    88028    89032  +2    10.41
orf00104    89310    89194  -1     3.18
orf00105    89634    90092  +3     3.84
orf00106    90094    91035  +1    11.32
orf00107    91032    91397  +3     6.33
orf00108    91413    93179  +3    11.50
orf00109    93166    94653  +1    13.63
orf00110    94650    96008  +3    14.09
orf00111    96002    97084  +2    13.03
orf00112    97087    98403  +1    13.64
orf00113    98403    99647  +3    14.01
orf00114    99668   100711  +2    11.97
orf00115   100765   102240  +1    13.08
orf00116   102233   103153  +2    10.24
orf00117   103155   103985  +3    10.71
orf00118   103982   105244  +2     9.13
orf00119   105305   106456  +2    11.04
orf00121   106557   107474  +3     7.13
orf00122   107630   108217  +2     7.52
orf00125   108279   110984  +3    14.77
orf00126   111044   111433  +2     9.96
orf00127   111846   111649  -1     6.18
orf00128   112599   111856  -1    12.48
orf00129   113219   112599  -3    10.61
orf00130   113444   114487  +2    12.04
orf00132   115724   114522  -3    11.50
orf00133   117099   115714  -1     8.40
orf00135   117549   117109  -1    10.01
orf00136   118645   117752  -2    12.59
orf00137   118733   119284  +2     6.83
orf00138   119281   120135  +1    10.46
orf00139   121548   120178  -1    13.46
orf00140   122092   122856  +1    10.25
orf00142   123017   125680  +2    13.38
orf00144   125695   127587  +1    13.02
orf00146   127879   129336  +1    14.74
orf00149   131260   129407  -2     5.96
orf00151   131693   134212  +2    13.55
orf00153   134388   134750  +3    11.15
orf00154   135582   134788  -1    12.70
orf00155   136464   135598  -1    12.58
orf00156   136917   136570  -1     7.82
orf00157   137083   138633  +1    13.72
orf00159   141225   138835  -1    13.96
orf00160   141431   141967  +2    15.86
orf00162   142670   142008  -3     9.13
orf00163   142779   143705  +3    14.16
orf00165   143702   144472  +2    13.29
orf00166   144577   145017  +1     5.62
orf00167   145081   146310  +1     8.92
orf00168   146694   146314  -1    11.20
orf00169   146662   146856  +1     2.51
orf00171   146968   147870  +1     7.51
orf00172   148795   147944  -2    14.70
orf00173   149601   148807  -1    14.65
orf00175   150953   149715  -3     3.08
orf00176   151599   151003  -1     1.68
orf00177   152231   151626  -3     3.28
orf00179   152691   152816  +3     1.61
orf00180   152626   152243  -2     3.37
orf00181   155426   152829  -3     5.53
orf00182   156201   155461  -1     5.66
orf00184   156883   156299  -2     9.43
orf00185   157732   157253  -2     9.62
orf00186   159093   157729  -1    12.58
orf00187   160112   159186  -3     6.65
orf00188   160604   160149  -3    12.99
orf00189   161486   160782  -3     6.23
orf00190   162031   161501  -2     6.94
orf00191   162060   164534  +3    11.53
orf00192   164730   167264  +3    13.69
orf00193   167463   167329  -1     4.11
orf00194   167484   167960  +3     7.98
orf00195   168836   167931  -3    11.74
orf00196   169159   168794  -2     4.00
orf00197   169291   171063  +1    12.02
orf00199   171114   171911  +3    15.21
orf00200   171911   172801  +2    12.48
orf00201   172798   174780  +1    15.40
orf00203   176218   174938  -2    14.97
orf00204   176443   177864  +1    13.19
orf00205   177946   178290  +1    13.66
orf00206   178960   178337  -2    11.93
orf00208   179798   178998  -3     7.81
orf00209   180489   179791  -1    10.01
orf00210   180573   182090  +3     9.62
orf00213   182220   183644  +3    13.81
orf00215   183799   184956  +1    13.56
orf00216   185431   185045  -2    10.78
orf00217   186336   185593  -1     8.82
orf00220   187283   186459  -3    15.45
orf00222   189986   187314  -3    10.96
orf00224   190842   190048  -1    13.51
orf00225   191210   191935  +2    10.77
orf00227   192193   193044  +1    13.39
orf00228   192174   191887  -1     2.31
orf00230   193191   193916  +3    14.14
orf00231   194208   194765  +3    14.82
orf00232   194857   196053  +1    10.91
orf00233   196239   197000  +3     6.51
orf00234   197000   197152  +2     5.35
orf00235   197121   197870  +3     5.71
orf00236   197882   199234  +2     6.38
orf00237   199264   201696  +1     9.86
orf00238   201818   202303  +2    14.24
orf00239   202307   203332  +2     9.27
orf00240   203437   203892  +1    10.25
orf00241   203896   204684  +1    10.52
orf00242   204684   205832  +3    13.14
orf00243   205829   206425  +2    14.15
orf00246   206462   209944  +2    12.26
orf00248   209957   210916  +2    18.13
orf00251   211015   213156  +1    10.22
orf00252   213213   213602  +3     9.19
orf00253   213667   214965  +1    12.38
orf00254   215268   215014  -1    12.63
orf00255   215461   215261  -2     7.09
orf00257   215627   216172  +2    16.87
orf00258   216169   216591  +1     7.29
orf00259   216605   217315  +2     9.81
orf00261   218339   217515  -3     5.82
orf00263   220111   218393  -2    13.14
orf00264   220930   220223  -2    11.97
orf00266   221280   220927  -1     5.64
orf00267   222264   221449  -1    14.87
orf00268   222957   222304  -1    14.34
orf00269   223981   222950  -2    12.50
orf00270   224169   224744  +3    13.13
orf00271   228829   228948  +1     1.85
orf00273   230503   231306  +1    12.61
orf00275   232217   231303  -3     6.40
orf00276   232458   233258  +3     7.25
orf00277   233262   233885  +3     6.84
orf00279   235153   233933  -2     7.87
orf00280   236118   235363  -1     5.36
orf00281   236152   236874  +1     5.59
orf00282   237338   236871  -3     9.50
orf00283   237403   238134  +1     8.69
orf00284   238671   239456  +3     6.99
orf00285   240520   240714  +1     3.86
orf00286   241525   240755  -2    10.05
orf00287   241703   242152  +2     9.67
orf00288   244639   242195  -2    14.24
orf00289   244879   245457  +1    16.17
orf00291   245663   246430  +2     9.57
orf00292   247141   246401  -2    10.78
orf00293   247491   247297  -1     2.76
orf00294   247838   247578  -3     9.92
orf00296   247988   248797  +2     7.24
orf00298   248973   249470  +3     3.62
orf00299   251433   249694  -1    15.30
orf00300   251393   252163  +2    12.44
orf00302   252234   253289  +3    12.06
orf00303   253341   253634  +3     3.76
orf00304   253637   254035  +2     5.78
orf00305   254123   254497  +2     5.94
orf00306   254815   255069  +1     5.61
orf00307   255038   255538  +2     7.14
orf00308   257052   255595  -1    13.86
orf00309   257313   257771  +3    13.03
orf00310   257863   259107  +1    10.45
orf00311   259165   259566  +1    11.05
orf00314   260660   259605  -3    13.06
orf00315   260948   262051  +2    13.40
orf00316   262063   263316  +1    14.42
orf00319   264229   263888  -2     2.56
orf00320   264567   264250  -1     1.24
