GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Thu Jul 27 11:16:02 2017
Sequence file name: seq.fna
Model file name: /home/genemark/bin/gmsuite/heu_11.mod
RBS: false

Model information: Heuristic_model_for_genetic_code_11_and_GC_51

FASTA definition line: Chromosome dna:chromosome chromosome:ASM80076v1:Chromosome:1:4558660:1 REF
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +         337        2799         2463        1
    2        +        2801        3733          933        1
    3        +        3734        5020         1287        1
    4        +        5349        5534          186        1
    5        -        5683        6459          777        1
    6        -        6529        7959         1431        1
    7        +        8238        9191          954        1
    8        +        9306        9893          588        1
    9        -        9928       10494          567        1
   10        -       10643       11356          714        1
   11        -       11382       11786          405        1
   12        +       12163       14079         1917        1
   13        +       14168       15298         1131        1
   14        +       15445       16557         1113        1
   15        -       16751       16960          210        1
   16        +       17489       18655         1167        1
   17        +       18715       19620          906        1
   18        -       19811       20314          504        1
   19        -       20815       21078          264        1
   20        +       21407       22348          942        1
   21        +       22391       25207         2817        1
   22        +       25207       25701          495        1
   23        +       25826       26275          450        1
   24        +       26277       27227          951        1
   25        +       27293       28207          915        1
   26        +       28374       29195          822        1
   27        +       29624       30799         1176        1
   28        +       30817       34038         3222        1
   29        -       34086       34265          180        1
   30        +       34300       34695          396        1
   31        -       34781       35392          612        1
   32        -       35377       36270          894        1
   33        -       36271       37839         1569        1
   34        -       37898       39115         1218        1
   35        -       39244       40386         1143        1
   36        -       40417       41931         1515        1
   37        +       42367       43173          807        1
   38        +       43188       44129          942        1
   39        +       44180       45466         1287        1
   40        +       45463       45750          288        1
   41        +       45807       47138         1332        1
   42        +       47303       47776          474        1
   43        +       47769       49631         1863        1
   44        +       49688       50302          615        1
   45        -       50380       51222          843        1
   46        +       51232       51546          315        1
   47        -       51609       52430          822        1
   48        -       52427       53416          990        1
   49        -       53416       54702         1287        1
   50        -       54755       57109         2355        1
   51        +       57364       58179          816        1
   52        +       58495       59124          630        1
   53        +       59121       59279          159        1
   54        -       59687       60346          660        1
   55        -       60358       63264         2907        1
   56        -       63429       65780         2352        1
   57        -       65855       66550          696        1
   58        -       66835       68337         1503        1
   59        -       68348       70048         1701        1
   60        +       70336       71265          930        1
   61        +       71351       72115          765        1
   62        -       72229       72927          699        1
   63        -       72911       74521         1611        1
   64        -       74497       75480          984        1
   65        -       75644       77182         1539        1
   66        +       77621       78799         1179        1
   67        -       78848       79453          606        1
   68        -       79464       80864         1401        1
   69        -       80867       81958         1092        1
   70        -       81958       83529         1572        1
   71        +       84368       85312          945        1
   72        +       85546       87354         1809        1
   73        +       87357       87848          492        1
   74        +       88028       89032         1005        1
   75        +       89598       90092          495        1
   76        +       90094       91035          942        1
   77        +       91032       91397          366        1
   78        +       91413       93179         1767        1
   79        +       93238       94653         1416        1
   80        +       94650       96008         1359        1
   81        +       96002       97084         1083        1
   82        +       97087       98403         1317        1
   83        +       98403       99647         1245        1
   84        +       99644      100711         1068        1
   85        +      100765      102240         1476        1
   86        +      102233      103153          921        1
   87        +      103155      103985          831        1
   88        +      103982      105244         1263        1
   89        +      105305      106456         1152        1
   90        +      106557      107474          918        1
   91        +      107630      108217          588        1
   92        +      108279      110984         2706        1
   93        +      111044      111433          390        1
   94        -      111856      112599          744        1
   95        -      112599      113219          621        1
   96        +      113444      114487         1044        1
   97        -      114522      115724         1203        1
   98        -      115714      117099         1386        1
   99        -      117109      117549          441        1
  100        -      117752      118687          936        1
  101        +      118733      119284          552        1
  102        +      119281      120135          855        1
  103        -      120178      121551         1374        1
  104        +      122092      122856          765        1
  105        +      123017      125680         2664        1
  106        +      125695      127587         1893        1
  107        +      127879      129336         1458        1
  108        -      129407      131260         1854        1
  109        +      131588      134212         2625        1
  110        +      134340      134750          411        1
  111        -      134788      135582          795        1
  112        -      135598      136464          867        1
  113        -      136570      137088          519        1
  114        +      137083      138633         1551        1
  115        -      138835      141225         2391        1
  116        +      141419      141967          549        1
  117        -      142008      142670          663        1
  118        +      142779      143705          927        1
  119        +      143702      144472          771        1
  120        +      144577      145017          441        1
  121        +      145081      146310         1230        1
  122        -      146314      146694          381        1
  123        +      146968      147870          903        1
  124        -      147944      148741          798        1
  125        -      148807      149601          795        1
  126        -      149715      150818         1104        1
  127        -      151003      151599          597        1
  128        -      151626      152231          606        1
  129        -      152243      152854          612        1
  130        -      152829      155426         2598        1
  131        -      155461      156153          693        1
  132        -      156299      156883          585        1
  133        -      157253      157732          480        1
  134        -      157729      159093         1365        1
  135        -      159186      160112          927        1
  136        -      160149      160604          456        1
  137        -      160782      161486          705        1
  138        -      161501      162031          531        1
  139        +      162060      164534         2475        1
  140        +      164537      164743          207        1
  141        +      164730      167264         2535        1
  142        -      167329      167463          135        1
  143        +      167484      167960          477        1
  144        -      167931      168722          792        1
  145        -      168794      169204          411        1
  146        +      169291      171063         1773        1
  147        +      171114      171911          798        1
  148        +      171911      172801          891        1
  149        +      172798      174780         1983        1
  150        -      174938      176218         1281        1
  151        +      176443      177864         1422        1
  152        +      177946      178290          345        1
  153        -      178337      178960          624        1
  154        -      178998      179798          801        1
  155        -      179791      180489          699        1
  156        +      180573      182090         1518        1
  157        +      182220      183644         1425        1
  158        +      183799      184956         1158        1
  159        -      185045      185431          387        1
  160        -      185593      186405          813        1
  161        -      186459      187283          825        1
  162        -      187314      189986         2673        1
  163        -      190048      190842          795        1
  164        -      190842      191063          222        1
  165        +      191210      191935          726        1
  166        +      192193      193044          852        1
  167        +      193191      193916          726        1
  168        +      194208      194765          558        1
  169        +      194857      196053         1197        1
  170        +      196242      197000          759        1
  171        +      197013      197870          858        1
  172        +      197882      199234         1353        1
  173        +      199264      201696         2433        1
  174        +      201818      202303          486        1
  175        +      202307      203332         1026        1
  176        +      203437      203892          456        1
  177        +      203896      204684          789        1
  178        +      204684      205832         1149        1
  179        +      205829      206425          597        1
  180        +      206510      209944         3435        1
  181        +      209957      210916          960        1
  182        +      211015      213156         2142        1
  183        +      213213      213602          390        1
  184        +      213667      214965         1299        1
  185        -      215014      215268          255        1
  186        -      215261      215479          219        1
  187        +      215627      216172          546        1
  188        +      216169      216591          423        1
  189        +      216605      217315          711        1
  190        -      217515      218393          879        1
  191        -      218393      220111         1719        1
  192        -      220223      220930          708        1
  193        -      220927      221280          354        1
  194        -      221449      222264          816        1
  195        -      222304      222957          654        1
  196        -      222950      223981         1032        1
  197        +      224169      224744          576        1
  198        +      230503      231306          804        1
  199        -      231303      232217          915        1
  200        +      232479      233258          780        1
  201        +      233262      233885          624        1
  202        -      233933      235291         1359        1
  203        -      235363      236118          756        1
  204        +      236152      236874          723        1
  205        -      236871      237410          540        1
  206        +      237394      238134          741        1
  207        +      238671      239456          786        1
  208        -      239593      240072          480        1
  209        -      240082      240420          339        1
  210        +      240490      240714          225        1
  211        -      240755      241525          771        1
  212        +      241679      242152          474        1
  213        -      242195      244639         2445        1
  214        +      244861      245457          597        1
  215        +      245663      246430          768        1
  216        -      246401      247141          741        1
  217        -      247297      247575          279        1
  218        -      247578      247838          261        1
  219        +      248171      248797          627        1
  220        +      248973      249470          498        1
  221        -      249694      251403         1710        1
  222        +      251393      252163          771        1
  223        +      252234      253289         1056        1
  224        +      253341      253634          294        1
  225        +      253637      254035          399        1
  226        +      254045      254497          453        1
  227        +      255002      255538          537        1
  228        -      255595      257052         1458        1
  229        +      257313      257771          459        1
  230        +      257863      259107         1245        1
  231        +      259165      259566          402        1
  232        -      259605      260666         1062        1
  233        +      260861      262051         1191        1
  234        +      262063      263316         1254        1
  235        -      263888      264229          342        1
  236        +      264352      264846          495        1
  237        +      264849      265274          426        1
  238        -      265308      265931          624        1
  239        -      266180      266620          441        1
  240        -      266670      267113          444        1
  241        -      267113      267289          177        1
  242        +      267306      267482          177        1
  243        -      267744      268580          837        1
  244        -      268657      269520          864        1
  245        -      269849      270742          894        1
  246        +      270838      271206          369        1
  247        +      271280      272314         1035        1
  248        -      272483      272776          294        1
  249        +      273422      274552         1131        1
  250        -      274661      275677         1017        1
  251        +      275861      277288         1428        1
  252        +      277275      278207          933        1
  253        -      278316      279374         1059        1
  254        -      279374      279736          363        1
  255        -      279738      280241          504        1
  256        -      280584      280922          339        1
  257        -      280945      281322          378        1
  258        -      281389      282543         1155        1
  259        +      282817      283746          930        1
  260        +      283761      285728         1968        1
  261        +      285955      287337         1383        1
  262        +      287349      288959         1611        1
  263        -      288964      289722          759        1
  264        -      289861      290865         1005        1
  265        +      290965      291198          234        1
  266        -      291209      291712          504        1
  267        +      292060      292791          732        1
  268        -      292882      293508          627        1
  269        -      293780      294400          621        1
  270        -      294505      295359          855        1
  271        -      295699      296031          333        1
  272        -      296256      297656         1401        1
  273        -      297941      298351          411        1
  274        -      298330      299286          957        1
  275        -      299296      301494         2199        1
  276        -      301491      302447          957        1
  277        -      302444      303133          690        1
  278        +      303551      304165          615        1
  279        +      304239      304418          180        1
  280        -      305055      305711          657        1
  281        -      305734      307377         1644        1
  282        -      307367      309892         2526        1
  283        -      309918      310586          669        1
  284        -      310644      311231          588        1
  285        -      311306      311848          543        1
  286        +      312672      312899          228        1
  287        -      313074      313340          267        1
  288        +      315043      315804          762        1
  289        +      315851      316150          300        1
  290        +      316147      317013          867        1
  291        -      317010      317729          720        1
  292        -      318286      318888          603        1
  293        +      319707      320645          939        1
  294        -      320655      321926         1272        1
  295        +      322125      322979          855        1
  296        +      323557      324225          669        1
  297        +      324236      325663         1428        1
  298        +      325656      326351          696        1
  299        -      326594      327262          669        1
  300        -      327475      329145         1671        1
  301        -      329159      330622         1464        1
  302        -      330645      331250          606        1
  303        +      331361      333394         2034        1
  304        +      334269      335357         1089        1
  305        -      335399      336331          933        1
  306        -      336423      336920          498        1
  307        +      337178      337783          606        1
  308        +      337823      338686          864        1
  309        +      338676      340223         1548        1
  310        +      340223      341641         1419        1
  311        +      341691      341987          297        1
  312        +      342063      343013          951        1
  313        +      343023      344405         1383        1
  314        +      344782      345831         1050        1
  315        +      346074      346889          816        1
  316        +      347302      347547          246        1
  317        -      347564      348235          672        1
  318        +      348382      348657          276        1
  319        -      348755      350341         1587        1
  320        +      350580      351470          891        1
  321        +      351910      353079         1170        1
  322        +      353113      354564         1452        1
  323        +      354604      356490         1887        1
  324        +      356820      358079         1260        1
  325        +      358054      359352         1299        1
  326        -      359689      360672          984        1
  327        +      360697      361356          660        1
  328        +      361387      361857          471        1
  329        +      361863      363044         1182        1
  330        -      363147      363752          606        1
  331        -      363824      365011         1188        1
  332        -      364971      365759          789        1
  333        -      365882      366973         1092        1
  334        -      367041      367988          948        1
  335        +      368065      369729         1665        1
  336        +      369731      370675          945        1
  337        +      370678      371559          882        1
  338        +      371563      372378          816        1
  339        +      372375      373325          951        1
  340        +      373322      374335         1014        1
  341        +      374952      376124         1173        1
  342        +      376226      376765          540        1
  343        -      376989      377822          834        1
  344        -      377916      379025         1110        1
  345        -      379060      379356          297        1
  346        -      379523      380296          774        1
  347        +      380760      381170          411        1
  348        +      381242      382033          792        1
  349        -      382193      383389         1197        1
  350        -      383513      384070          558        1
  351        +      384629      385648         1020        1
  352        +      385661      386428          768        1
  353        +      386425      387252          828        1
  354        +      387249      388100          852        1
  355        -      388207      389214         1008        1
  356        -      389351      389602          252        1
  357        +      389705      391165         1461        1
  358        -      391193      392059          867        1
  359        -      392056      392355          300        1
  360        +      392469      393872         1404        1
  361        +      393915      394583          669        1
  362        -      394584      395714         1131        1
  363        +      396093      397313         1221        1
  364        +      397326      398420         1095        1
  365        -      398479      398787          309        1
  366        +      398978      399259          282        1
  367        -      399283      400377         1095        1
  368        +      400840      401100          261        1
  369        +      401276      402616         1341        1
  370        +      402717      403055          339        1
  371        +      403157      404272         1116        1
  372        -      404289      405098          810        1
  373        +      405098      405676          579        1
  374        +      405859      406383          525        1
  375        +      406433      406624          192        1
  376        +      406882      407559          678        1
  377        +      407631      407915          285        1
  378        -      407906      408022          117        1
  379        -      408562      409512          951        1
  380        +      409511      410506          996        1
  381        -      410751      411935         1185        1
  382        -      412061      415207         3147        1
  383        -      415204      416430         1227        1
  384        +      416596      417285          690        1
  385        +      417343      418638         1296        1
  386        +      419045      420364         1320        1
  387        +      420440      421813         1374        1
  388        +      421969      423786         1818        1
  389        -      423791      424372          582        1
  390        +      424465      425535         1071        1
  391        +      425591      426718         1128        1
  392        +      426741      427073          333        1
  393        +      427134      428948         1815        1
  394        +      428914      429930         1017        1
  395        +      430059      430406          348        1
  396        -      430583      431467          885        1
  397        -      431766      432305          540        1
  398        +      432456      432905          450        1
  399        +      432909      434012         1104        1
  400        +      434101      434571          471        1
  401        +      434591      435010          420        1
  402        +      435088      436065          978        1
  403        +      436043      436561          519        1
  404        -      436615      437529          915        1
  405        -      437769      439631         1863        1
  406        -      439656      440555          900        1
  407        -      440555      440797          243        1
  408        +      441003      442451         1449        1
  409        -      442505      443095          591        1
  410        -      443058      443969          912        1
  411        +      444119      444628          510        1
  412        -      444756      446120         1365        1
  413        -      446269      447159          891        1
  414        -      447171      447500          330        1
  415        -      447500      448114          615        1
  416        -      448104      450095         1992        1
  417        -      450117      451064          948        1
  418        -      451524      452999         1476        1
  419        -      453043      453621          579        1
  420        -      453956      454096          141        1
  421        -      454162      454353          192        1
  422        +      454587      455885         1299        1
  423        +      456170      456754          585        1
  424        +      456880      458154         1275        1
  425        +      458342      460696         2355        1
  426        +      460905      461177          273        1
  427        +      461369      463240         1872        1
  428        +      463391      463762          372        1
  429        +      463856      464254          399        1
  430        -      464306      465001          696        1
  431        -      465066      466766         1701        1
  432        +      466854      467684          831        1
  433        +      467750      468295          546        1
  434        +      468412      470097         1686        1
  435        +      470090      471871         1782        1
  436        +      472052      472390          339        1
  437        +      472420      473706         1287        1
  438        -      473755      474615          861        1
  439        +      474833      475405          573        1
  440        -      475436      475807          372        1
  441        +      476126      476479          354        1
  442        -      476521      478077         1557        1
  443        -      478235      478705          471        1
  444        -      478821      479372          552        1
  445        -      479544      479762          219        1
  446        -      479788      480162          375        1
  447        -      480708      483857         3150        1
  448        -      483880      485073         1194        1
  449        +      485215      485862          648        1
