Frame 1 
1800	+	2070
2976	+	3252
3252	+	3510
3510	+	4554
7287	+	7854
7854	+	8292
8292	+	8544
8544	+	9180
11229	+	11889
17484	+	17781
17781	+	18411
18411	+	18741
18741	+	19239
19242	+	19620
19620	+	20733
20733	+	21174
21474	+	22125
22830	+	23139
24132	+	24465
26457	+	27027
27027	+	27342
27342	+	28230
33432	+	33729
41850	+	42198
42198	+	42885
43053	+	43401
49827	+	50160
50160	+	50721
50733	+	51165
55815	+	56475
59733	+	60660
60660	+	61002
64572	+	64932
72561	+	73431
73677	+	74577
74706	+	75012
75033	+	75390
76056	+	76569
76569	+	77634
81291	+	81711
81999	+	82536
84054	+	84309
86202	+	86532
86772	+	87030
87315	+	87618
88293	+	88626
89445	+	89820
89916	+	90363
90363	+	90951
92124	+	92649
92736	+	93081
93081	+	93651
93651	+	94131
104301	+	104802
105075	+	105447
106647	+	107544
107544	+	108006
108006	+	109176
109668	+	109989
109989	+	110352
111351	+	111786
111786	+	112722
114324	+	114795
115164	+	116871
116871	+	117393
117699	+	118032
118332	+	118794
123630	+	123924
123948	+	124275
124413	+	125151
125373	+	125847
127272	+	128709
130404	+	131019
131124	+	131379
133683	+	134169
136092	+	137025
138084	+	138864
138864	+	139290
141333	+	141666
142053	+	142551
143532	+	143952
144966	+	146133
146268	+	146664
146721	+	147195
147336	+	147804
151260	+	152295
152295	+	152718
153069	+	153768
154980	+	155433
156237	+	156573
158286	+	158601
160854	+	161388
161388	+	161853
161853	+	162432
163563	+	165384
167151	+	167553
168357	+	168624
168912	+	169290
169290	+	169542
169542	+	169812
180534	+	180792
182841	+	183186
183186	+	183636
186081	+	186786
186975	+	187260
191136	+	191775
191775	+	192099
193212	+	193656
195147	+	195489
196434	+	196740
196740	+	196992
198501	+	199149
201024	+	201672
203241	+	203496
203496	+	203841
203841	+	204498
204549	+	204882
205662	+	206592
208551	+	209208
209208	+	209595
209595	+	210315
210387	+	211137
211440	+	212067
212256	+	213546
215247	+	215526
216363	+	216675
218598	+	218892
218892	+	219462
232038	+	232839
233031	+	233508
233508	+	233769
233769	+	234441
234441	+	234846
234846	+	235281
235989	+	236241
239145	+	239613
239817	+	240192
242208	+	242508
242520	+	244566
245103	+	245370
252939	+	253992
255573	+	256455
256455	+	256758
256758	+	257028
259170	+	262326
262326	+	264042
264042	+	264591
265587	+	266040
267960	+	269244
271788	+	273114
274257	+	274650
278880	+	279204
279795	+	280641
283383	+	284370
284373	+	285780
286860	+	287340
287685	+	288231
288231	+	288744
291321	+	292095
292095	+	292593
292815	+	293442
294090	+	294780
306207	+	306651
307917	+	308367
308367	+	309006
309132	+	309489
309504	+	310047
319185	+	320058
321030	+	321321
336462	+	336954
342033	+	342318
348861	+	349134
349209	+	349617
350883	+	351267
351504	+	351822
355104	+	355449
355482	+	355854
369201	+	369453
372684	+	372969
375018	+	375375
391050	+	391359
412665	+	412959
417021	+	417330
429597	+	429897
448176	+	448446
449823	+	450102
460113	+	460491
462573	+	463557
463917	+	464493
478989	+	479574
486003	+	486297
508386	+	508707
513594	+	513909
514734	+	515007
520758	+	521052
525033	+	525318
555930	+	556308
560496	+	560772
561894	+	562197
562839	+	563106
567966	+	568236
576792	+	577044
577914	+	578166
Frame 2 
676	+	1825
9910	+	11056
12241	+	12508
28597	+	29302
29545	+	30121
33046	+	33331
36952	+	37954
37954	+	38236
38692	+	38974
47116	+	47425
49360	+	49639
51832	+	52354
53125	+	53485
53710	+	54565
61393	+	62350
62350	+	62782
62782	+	63055
84649	+	85048
85291	+	85552
85552	+	85939
87304	+	87631
94528	+	95779
95779	+	96694
96694	+	96952
99376	+	101776
101776	+	102265
105439	+	106561
109237	+	109672
112732	+	113623
118012	+	118339
118768	+	119407
119407	+	120184
120184	+	120535
120535	+	120982
121501	+	123199
123241	+	123520
128764	+	129352
135715	+	136117
137518	+	138055
139390	+	140023
143899	+	144673
155440	+	156220
156559	+	157855
160474	+	160732
162364	+	163234
171484	+	171739
175087	+	175357
175867	+	176254
176254	+	177178
177205	+	177553
177553	+	178273
178444	+	179065
180736	+	181015
190036	+	190363
190363	+	190744
190744	+	191140
192931	+	193219
196060	+	196444
197164	+	197599
197599	+	198067
198550	+	198877
199588	+	201034
202687	+	203014
204868	+	205681
206578	+	206920
206920	+	207391
207391	+	207847
212266	+	212527
215419	+	215878
216754	+	217087
217087	+	217393
217393	+	218218
218218	+	218515
220579	+	221371
221776	+	222529
222703	+	223075
223075	+	223357
224053	+	224578
224803	+	225901
231049	+	231343
231412	+	231670
235501	+	236059
237337	+	237910
237946	+	239149
240319	+	242065
245692	+	247423
253972	+	254599
254599	+	255037
255037	+	255589
258022	+	259156
264286	+	264565
265810	+	266116
266572	+	267088
275356	+	276160
276160	+	276625
276634	+	278272
278272	+	278809
279178	+	279496
280594	+	281083
282070	+	283324
290848	+	291325
297139	+	297412
299518	+	299809
300049	+	300322
301591	+	301885
306997	+	307339
307588	+	307927
310504	+	311143
311365	+	312805
313435	+	313765
314632	+	315229
315694	+	316060
316060	+	317305
317305	+	317821
317830	+	318235
318391	+	319204
320668	+	320926
327733	+	328072
328624	+	328927
333589	+	333844
345292	+	345628
345754	+	346630
356137	+	356395
356698	+	357211
357211	+	357475
374332	+	374683
374731	+	374986
384211	+	384523
396217	+	396517
397471	+	397804
403756	+	404056
404218	+	404587
406255	+	406582
408988	+	409246
414985	+	415240
444406	+	444751
446731	+	447127
447127	+	447586
456832	+	457369
461167	+	461542
470710	+	471088
479584	+	480223
488344	+	488755
493945	+	494266
496600	+	496870
497164	+	497419
509179	+	509467
512530	+	512965
518665	+	518926
521470	+	521725
527545	+	527899
533869	+	534319
539746	+	540235
540235	+	540526
541297	+	541789
542500	+	542983
545773	+	546046
547270	+	547534
557713	+	558121
558460	+	558877
563983	+	564928
568918	+	569203
570055	+	570325
573208	+	573511
575065	+	575338
Frame 3 
4808	+	7319
9320	+	9752
13076	+	13328
15494	+	16307
16307	+	16964
16964	+	17423
22385	+	23555
24425	+	24707
25283	+	25763
30257	+	30545
39971	+	40250
40535	+	41066
41294	+	41564
43562	+	44255
44396	+	44750
45599	+	45863
47555	+	47852
47852	+	48926
48926	+	49187
52286	+	52766
52766	+	53204
54629	+	55268
55268	+	55601
56705	+	56969
56969	+	57308
58247	+	58688
58688	+	59075
59075	+	59750
60998	+	61403
64022	+	64289
67085	+	67349
67637	+	67913
68042	+	68300
70526	+	70793
70793	+	72569
77882	+	78323
78323	+	79076
79082	+	79937
79937	+	81032
82604	+	84041
91379	+	91916
96914	+	98900
103301	+	104120
110348	+	110921
113873	+	114311
125825	+	126659
126659	+	127250
129341	+	130292
131543	+	132962
133145	+	133559
134717	+	135335
140270	+	141263
142556	+	143093
148433	+	148955
149366	+	150965
150965	+	151325
159791	+	160097
165464	+	167126
167798	+	168227
175391	+	175664
178781	+	179042
179147	+	179831
179831	+	180263
180263	+	180743
180995	+	182861
184046	+	184859
184997	+	185321
185510	+	185912
187451	+	187790
187790	+	188468
188582	+	189323
189635	+	189953
192065	+	192956
193757	+	194465
195746	+	196118
198119	+	198509
199142	+	199607
201668	+	202421
207893	+	208574
213536	+	213932
214139	+	214568
222557	+	222842
225893	+	226274
226562	+	226943
227186	+	227615
227615	+	229064
229436	+	229808
236213	+	236618
237740	+	238190
247562	+	247907
250505	+	250793
250982	+	251393
251972	+	252584
258032	+	258494
264587	+	265289
265289	+	265634
267074	+	268007
269240	+	270137
270398	+	270689
270794	+	271871
279470	+	279803
281072	+	281960
288737	+	289430
289430	+	289727
290291	+	290624
293417	+	293942
304982	+	305291
305369	+	306095
312809	+	313190
323573	+	323834
324101	+	324419
329144	+	329444
329951	+	330272
338360	+	339752
339752	+	340019
340259	+	340514
340781	+	341057
348242	+	348770
349862	+	350324
354020	+	354473
354845	+	355127
365705	+	365975
367784	+	368213
368213	+	368546
380171	+	380444
386675	+	387089
389588	+	389945
390500	+	390956
394754	+	395102
397439	+	397823
405440	+	406136
413309	+	413567
420317	+	420842
421448	+	421847
421913	+	422690
422690	+	423110
428732	+	429119
429356	+	429659
429884	+	430166
438098	+	438350
449288	+	449570
450302	+	450719
451190	+	451607
452207	+	452693
452729	+	453050
453482	+	453776
456296	+	456551
457328	+	458267
459608	+	460100
461648	+	462044
462344	+	462614
477158	+	478469
478469	+	479003
494945	+	495221
495230	+	495500
496130	+	496622
500246	+	500585
510935	+	511196
531662	+	532004
532004	+	533000
533261	+	533558
540506	+	541238
543041	+	543578
543578	+	544154
549887	+	550142
552863	+	553268
556433	+	557312
566186	+	566456
